V1_gene	Annotation_gene	TermID	TermName
VIT_00s0125g00280	Vitvi10g01236	1	Photosynthesis
VIT_00s0181g00200	Vitvi10g00378	1	Photosynthesis
VIT_00s0204g00170	Vitvi02g01762	1	Photosynthesis
VIT_00s0207g00210	Vitvi07g01275	1	Photosynthesis
VIT_00s0246g00200	Vitvi09g02103	1	Photosynthesis
VIT_00s0904g00010	Vitvi10g02212	1	Photosynthesis
VIT_00s1547g00010	Vitvi00g01145	1	Photosynthesis
VIT_00s1596g00010	Vitvi00g01161	1	Photosynthesis
VIT_01s0010g01170	Vitvi01g01373	1	Photosynthesis
VIT_01s0010g03620	Vitvi01g01648	1	Photosynthesis
VIT_01s0011g02740	Vitvi01g00214	1	Photosynthesis
VIT_01s0011g05290	Vitvi01g00449	1	Photosynthesis
VIT_01s0026g02680	Vitvi01g01035	1	Photosynthesis
VIT_01s0137g00210	Vitvi01g00589	1	Photosynthesis
VIT_01s0244g00170	Vitvi01g02296	1	Photosynthesis
VIT_02s0012g01120	Vitvi02g00680	1	Photosynthesis
VIT_02s0025g01470	Vitvi02g00133	1	Photosynthesis
VIT_02s0025g04710	Vitvi02g00434	1	Photosynthesis
VIT_02s0109g00080	Vitvi02g00915	1	Photosynthesis
VIT_03s0017g00940	Vitvi03g01127	1	Photosynthesis
VIT_03s0038g00670	Vitvi03g00048	1	Photosynthesis
VIT_03s0038g02510	Vitvi03g00154	1	Photosynthesis
VIT_03s0063g02020	Vitvi03g00375	1	Photosynthesis
VIT_03s0180g00110	Vitvi03g00549	1	Photosynthesis
VIT_04s0008g01730	Vitvi04g01806	1	Photosynthesis
VIT_04s0008g05340	Vitvi04g01902	1	Photosynthesis
VIT_04s0023g00410	Vitvi04g02063	1	Photosynthesis
VIT_04s0023g03010	Vitvi04g01421	1	Photosynthesis
VIT_04s0023g03510	Vitvi04g01468	1	Photosynthesis
VIT_04s0044g01310	Vitvi04g01693	1	Photosynthesis
VIT_04s0044g01410	Vitvi04g01700	1	Photosynthesis
VIT_05s0020g03180	Vitvi05g00474	1	Photosynthesis
VIT_05s0020g04110	Vitvi05g00563	1	Photosynthesis
VIT_05s0020g04600	Vitvi05g00621	1	Photosynthesis
VIT_05s0049g00950	Vitvi05g00736	1	Photosynthesis
VIT_05s0049g01760	Vitvi05g00817	1	Photosynthesis
VIT_06s0004g00260	Vitvi06g00033	1	Photosynthesis
VIT_06s0004g05180	Vitvi06g00513	1	Photosynthesis
VIT_06s0080g00920	Vitvi06g01531	1	Photosynthesis
VIT_07s0005g02220	Vitvi07g02246	1	Photosynthesis
VIT_07s0005g04400	Vitvi07g00690	1	Photosynthesis
VIT_07s0005g04920	Vitvi07g02309	1	Photosynthesis
VIT_07s0141g00570	Vitvi07g00035	1	Photosynthesis
VIT_08s0007g00780	Vitvi08g01239	1	Photosynthesis
VIT_08s0007g00840	Vitvi08g01245	1	Photosynthesis
VIT_08s0007g01570	Vitvi08g01301	1	Photosynthesis
VIT_08s0007g01590	Vitvi08g02231	1	Photosynthesis
VIT_08s0007g02190	Vitvi08g01360	1	Photosynthesis
VIT_08s0007g07480	Vitvi08g01821	1	Photosynthesis
VIT_09s0002g04320	Vitvi09g00361	1	Photosynthesis
VIT_10s0003g02890	Vitvi10g01839	1	Photosynthesis
VIT_10s0003g02900	Vitvi10g00740	1	Photosynthesis
VIT_10s0003g04350	Vitvi10g00882	1	Photosynthesis
VIT_10s0116g01540	Vitvi10g00078	1	Photosynthesis
VIT_11s0016g00730	Vitvi11g00052	1	Photosynthesis
VIT_11s0016g01400	Vitvi11g01345	1	Photosynthesis
VIT_11s0016g05570	Vitvi11g00488	1	Photosynthesis
VIT_11s0052g00820	Vitvi11g01657	1	Photosynthesis
VIT_12s0028g00320	Vitvi12g00050	1	Photosynthesis
VIT_12s0028g01080	Vitvi12g00092	1	Photosynthesis
