V1_gene	Module	Mapped_v3	MapMan_v3	Mapped_v5	MapMan_v5	GO_v5
VIT_05s0136g00260	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_19s0015g02590	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_01s0011g02710	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_19s0014g00450	M2	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_08s0007g06450	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_04s0008g05220	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_08s0040g01890	M10	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_09s0002g04020	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_18s0001g14360	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_01s0010g02460	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_05s0077g01070	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_06s0004g00440	M1	FALSE	FALSE	TRUE	FALSE	FALSE
VIT_06s0004g02380	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_14s0066g00560	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_02s0025g04300	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_08s0007g06040	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_04s0023g03130	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_01s0011g05170	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_06s0004g02560	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_15s0021g00940	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_12s0035g01900	M4	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_04s0023g01110	M4	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0072g00640	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_02s0241g00030	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_11s0016g05530	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_08s0007g04780	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_10s0116g00570	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_00s0260g00080	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_11s0118g00200	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0125g00020	M8	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_08s0007g01350	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_02s0025g04310	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_14s0006g02000	M1	FALSE	FALSE	TRUE	FALSE	FALSE
VIT_07s0031g02200	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_12s0035g01910	M4	TRUE	TRUE	TRUE	TRUE	FALSE
