SampleName	GSM	Cultivar	Stage	Year	Replicate	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
"GSM2627691"	"GSM2627691"	"Cabernet Sauvignon"	"FruitSet"	"2012"	1	-60.0709233100058	-34.022696117302	-36.2321479271418	26.9081157412869	-11.6201464829667	2.92108358007213	4.3937124028952	-0.277349156755554	12.1635643804491	-1.08474419720521
"GSM2627692"	"GSM2627692"	"Cabernet Sauvignon"	"FruitSet"	"2012"	2	-57.8933693749065	-31.818360793733	-38.2211319258483	32.3419022366896	-2.24334088338557	-2.13620243199547	13.5592670808885	3.98742069679172	5.87623977160833	-3.77918410476104
"GSM2627693"	"GSM2627693"	"Cabernet Sauvignon"	"FruitSet"	"2012"	3	-57.29748424108	-36.6043167076761	-42.1879283896075	26.4021824674954	-13.5306525765144	3.77263540131881	-0.554341133861518	15.0445729717537	6.04214672604934	15.5222197789331
"GSM2627709"	"GSM2627709"	"Cabernet Sauvignon"	"Veraison"	"2012"	1	-8.3725984858937	-34.2965784367408	30.8278910177111	8.47764978162915	-2.60564336121834	-7.02501106241221	-9.52656485815493	1.67876256544203	-3.95681605681961	1.75031262034129
"GSM2627711"	"GSM2627711"	"Cabernet Sauvignon"	"Veraison"	"2012"	2	-10.1649880558674	-33.8768679766869	28.1749915858178	13.1698752057893	-5.07872841942974	-8.00204214641773	-9.62661503265662	6.92272105040889	-6.58530012096919	0.250769780464137
"GSM2627713"	"GSM2627713"	"Cabernet Sauvignon"	"Veraison"	"2012"	3	-13.0521861926491	-33.2900356472402	24.8472544904016	11.060863288225	-5.47521886188029	-8.34159343840356	-11.0159600711455	13.1510054792754	-4.97176327943649	0.104315244906708
"GSM2627739"	"GSM2627739"	"Cabernet Sauvignon"	"Harvest"	"2012"	1	68.7646231342175	-29.0793822979197	-8.74282044540089	-16.5396673492694	-15.4729481171711	-0.72055454576508	4.72210968612903	-1.12386651455642	-6.15833753845052	-2.5685164692819
"GSM2627740"	"GSM2627740"	"Cabernet Sauvignon"	"Harvest"	"2012"	2	68.679949870838	-29.0483675349339	-1.17060823969549	-13.7110552304896	-19.0124144323912	-4.55053268533109	4.263098463269	8.71816436092269	-13.3876043335022	-14.7547951946792
"GSM2627741"	"GSM2627741"	"Cabernet Sauvignon"	"Harvest"	"2012"	3	79.6262496077471	-27.1199430297327	-13.5392706611434	-19.5687002557619	-12.9208887006008	-1.5144686049571	8.76575427153178	-6.30291440960257	-4.93581076995562	1.60986064434742
"GSM2627742"	"GSM2627742"	"Cabernet Sauvignon"	"FruitSet"	"2013"	1	-52.3905398345603	-33.7439591852086	-13.897504530256	-8.63640161201158	33.3235166796681	14.6103506053343	12.0775717100043	4.48686370188236	0.369946371777515	-2.99467353158003
"GSM2627743"	"GSM2627743"	"Cabernet Sauvignon"	"FruitSet"	"2013"	2	-52.6077118326114	-33.3788566840139	-13.2708629471456	2.76955872030718	22.9996745268722	-11.0639901775588	11.3099862120582	-2.74816929483712	-7.79343426946716	6.21628978404005
"GSM2627744"	"GSM2627744"	"Cabernet Sauvignon"	"FruitSet"	"2013"	3	-52.691619980715	-31.846645471649	-8.80732386601841	4.07660264212352	28.8248319391656	-12.373599985359	19.322122050108	-7.27461880591928	-4.88132611127204	-2.9267989318451
"GSM2627754"	"GSM2627754"	"Cabernet Sauvignon"	"Veraison"	"2013"	1	-15.5011327949034	-33.7716264120832	26.9375396174504	9.19606307059104	8.25681874735979	-6.62403141161244	-4.49000729102468	-8.65011410590412	-4.51968904238866	-1.31179392373681
"GSM2627755"	"GSM2627755"	"Cabernet Sauvignon"	"Veraison"	"2013"	2	-6.08541457175556	-34.8557681572775	32.9989916118595	10.4942776414872	0.722432925819578	-5.79320315934349	-6.42230292115945	-8.54872775339162	-3.46890103992693	2.78967863064144
"GSM2627756"	"GSM2627756"	"Cabernet Sauvignon"	"Veraison"	"2013"	3	-0.861428885702608	-33.2960074769708	33.5396201869849	10.4133412205967	2.51678775975285	-0.433199340290388	-6.16989925329268	-4.92848990572091	-0.592071266852376	3.63082786282358
"GSM2627781"	"GSM2627781"	"Cabernet Sauvignon"	"Harvest"	"2013"	1	72.7468809721112	-27.3419927987518	-11.6935377037839	-16.2368503730143	-8.4446784322402	3.28494472403332	2.41314256260815	-4.98463260662076	1.86702043550073	1.27443459903863
"GSM2627782"	"GSM2627782"	"Cabernet Sauvignon"	"Harvest"	"2013"	2	73.0171713429265	-26.2014896876248	-15.1227342164016	-15.4335264429586	-7.62521280187157	1.79077856336298	4.09046913905534	-6.09071297849515	3.13159756154276	4.54169631564111
"GSM2627783"	"GSM2627783"	"Cabernet Sauvignon"	"Harvest"	"2013"	3	73.10776660767	-26.9128524006488	-14.7168765340024	-18.7834203045885	-9.02583842226068	3.90148067230963	3.21690826776254	-7.19329305666101	3.65271142177668	4.65629854765579
"GSM2627784"	"GSM2627784"	"Cabernet Sauvignon"	"FruitSet"	"2014"	1	-50.5374281765775	24.7084389026809	-4.46856373887411	-25.942672800865	2.11703346671174	-15.9485200037999	-2.48428316985471	-0.701366254478859	3.90985337391367	1.55350714458361
