Module	Module_number	moduleSize_Z	Zsummary.pres	Zdensity.pres	Zconnectivity.pres	Z.propVarExplained.pres	Z.meanSignAwareKME.pres	Z.meanSignAwareCorDat.pres	Z.meanAdj.pres	Z.meanMAR.pres	Z.cor.kIM	Z.cor.kME	Z.cor.kMEall	Z.cor.cor	Z.cor.MAR	moduleSize_observed	medianRank.pres	medianRankDensity.pres	medianRankConnectivity.pres	propVarExplained.pres	meanSignAwareKME.pres	meanSignAwareCorDat.pres	meanAdj.pres	meanMAR.pres	cor.kIM	cor.kME	cor.kMEall	cor.cor	cor.MAR	Preservation_class
"M1"	1	1000	28.9305223866147	12.8894526941	44.9715920791295	-0.0596073197112284	25.3570119301142	51.4272767042006	0.42189345808573	0.581155343551969	29.2245973325462	44.9715920791295	74.1607056597447	58.1115041174027	28.6776571561132	1000	3	3	3	0.778079398150454	0.873036823006924	0.762394887544605	0.320575616445534	0.437224974330511	0.937721086678613	0.997945761196971	0.992956008484671	0.995075525313856	0.935121424300717	"strong"
"M2"	2	81	7.45258123667793	1.97445052980438	12.9307119435515	-8.65154744169606	10.054385901593	36.2312439921765	-6.10548484198423	-6.15852228443897	6.43361822489377	12.9307119435515	78.217665742895	40.9070892296755	6.45912160015575	81	9	9	8	0.619801840823875	0.762475429166003	0.577500263801948	0.14936911910407	0.30425987238648	0.786064840738639	0.981070886941952	0.956459671799099	0.955558101854164	0.76934795142232	"moderate"
"M3"	3	35	-2.12371245639901	-3.69645307879693	-0.550971834001102	-14.6174993929381	-1.27537809612511	-0.903493411653672	-6.11752806146874	-6.59573144820826	-1.38892294908261	-0.550971834001102	31.5601107535972	2.46830352630113	0.0785546604699912	35	11	11	11	0.345357874303435	0.334157767718024	0.128588124353248	0.0409393728848116	0.199962179050355	-0.245484162623666	0.0862316851628307	0.426573676437682	0.27626361560544	0.00756486393473795	"not_supported"
"M4"	4	89	7.94631849755377	-0.287971371902197	16.1806083670097	-6.23964316227054	5.50324087317669	8.39641638194563	-6.07918361698109	-6.63485732505947	8.9922412572504	16.1806083670097	79.5023293829729	16.5382738570888	9.06842817546845	89	6	6	2	0.66997339890993	0.812062029936437	0.656145200976446	0.160340671524296	0.300511108354969	0.9734118515537	0.99865632869852	0.980660801382179	0.995153082481849	0.966213519015253	"moderate"
"M5"	5	76	7.49472834158781	1.90847022671279	13.0809864564628	-1.49784352884941	5.314783982275	8.18859124217662	-2.75689233729134	-4.90869199610493	8.33666167151979	13.0809864564628	74.649030628138	13.104098832013	8.4323084314275	76	4	4	7	0.74852037521458	0.859591352177415	0.735735662764151	0.233997028405718	0.321958656630932	0.88355619884326	0.993396099760319	0.982609412227722	0.988511660555575	0.893076119231973	"moderate"
"M6"	6	48	4.97537876796585	0.228282788335307	9.72247474759638	-3.18175528018603	3.63832085685665	5.01144780516851	-3.54048934584194	-4.39193807306507	6.31132587281006	9.9212015464282	73.1661973798856	9.72247474759638	5.81357531725767	48	5	5	5	0.696261175123531	0.824308608933125	0.673564755024993	0.181850882003375	0.310660749089418	0.896354907480645	0.995028264237373	0.982601864106691	0.988768560191749	0.793834102952306	"moderate"
"M7"	7	39	4.96232935979352	1.7642821317971	8.16037658778994	-0.116569677546773	3.64513394114098	5.32048263455469	-0.870249884951737	-1.24911370087704	5.8537476849626	8.78630883841219	75.5728992798776	8.16037658778994	5.81955575535468	39	2	2	1	0.78061260311862	0.880463616875009	0.769387648676933	0.281323164063568	0.387302949923034	0.97238982700515	0.999453481501513	0.985448378769125	0.998235954714989	0.968741888036797	"moderate"
"M8"	8	17	1.55870832969897	-0.842711013113518	3.96012767251146	-4.27369283154106	1.24715486759867	1.34624074482765	-2.93257689382571	-3.15034531569055	3.07628943981765	3.96012767251146	69.2748527251086	5.16696136934853	2.40526886705137	17	10	10	10	0.602443209823299	0.732137802328968	0.514651742121218	0.115389522077576	0.250743352150066	0.737410479500456	0.795246641268462	0.920416391517232	0.773369133498948	0.515484569218728	"not_supported"
"M9"	9	33	3.25027228149394	-1.00431612629516	7.50486068928304	-4.5799572613925	2.12039355956531	2.53864089423162	-4.12902581215563	-4.96236057290439	4.54944917855506	7.50486068928304	75.7503490284656	8.82619862692672	4.39467246035696	33	8	8	9	0.631904535153127	0.784098482339066	0.603711484467227	0.124634085029446	0.260683484081754	0.891179603595658	0.939656669870157	0.963676181765198	0.89655815658466	0.838454174676489	"moderate"
"M10"	10	21	3.73544911861366	1.4185909667759	6.05230727045142	-0.0138814496660991	2.85106338321789	3.9356169611957	-0.812015794885174	-1.86199024458245	3.9552225813437	6.05230727045142	72.6602166853057	6.12820095711762	3.96991339577284	21	3	1.5	4	0.782215187200091	0.881292163578068	0.765642908348331	0.267360270681157	0.349091627044582	0.870139333650884	0.996782938711289	0.981897779780157	0.994236361612528	0.876926253169169	"moderate"
