GSM	SRA_Run	Cultivar	Stage	Year	Processed_fragments	Mapped_fragments	Percent_mapped	Decoy_fragments	Nonzero_gene_counts	Median_ratio_size_factor	Pearson_across_genes	Spearman_across_genes	PC1	PC2
"GSM2627825"	"SRR5560629"	"Pinot noir"	"FruitSet"	2012	29741944	25753392	86.5894710850104	2401285	29679	0.8798992	0.900126695746779	0.923734135143876	-56.1164394824071	17.9513668350885
"GSM2627835"	"SRR5560639"	"Pinot noir"	"Veraison"	2012	31918674	27162289	85.0984254546414	3409951	28210	1.04616052	0.900328025906005	0.93390537045701	-7.40750286052314	24.5002056651364
"GSM2627836"	"SRR5560640"	"Pinot noir"	"Veraison"	2012	31953495	27093723	84.7911097049008	3285334	28667	1.07693734	0.903333853070459	0.935941849254306	-12.1430999407554	23.7882504717502
"GSM2627837"	"SRR5560641"	"Pinot noir"	"Veraison"	2012	28319046	23913323	84.4425444275206	3163714	28126	0.93011219	0.895601721126931	0.928388389845183	1.98305073949282	27.1515479813915
"GSM2627850"	"SRR5560654"	"Pinot noir"	"Harvest"	2012	31419916	25083807	79.8340994928185	3514319	29329	0.95570591	0.894482847490961	0.943140229425488	59.8477513181482	31.576531260963
"GSM2627851"	"SRR5560655"	"Pinot noir"	"Harvest"	2012	25804009	20519128	79.519147586718	2927055	28754	0.77987326	0.89727428592958	0.948426302796992	60.1971009667841	33.4024110827143
"GSM2627852"	"SRR5560656"	"Pinot noir"	"Harvest"	2012	40547271	32775801	80.8335559747042	3983836	29856	1.20090749	0.900879486846886	0.949372455923647	65.5871928612559	31.326972121409
"GSM2627853"	"SRR5560657"	"Pinot noir"	"FruitSet"	2013	27481500	23281244	84.7160598948384	2869361	30845	1.06062111	0.904684104155639	0.91630127293897	-48.8970711805795	21.7183593172258
"GSM2627854"	"SRR5560658"	"Pinot noir"	"FruitSet"	2013	29154830	24536219	84.1583332847422	2961075	31017	1.11392006	0.901439450102596	0.90865285612807	-46.088941236896	20.1025247893181
"GSM2627855"	"SRR5560659"	"Pinot noir"	"FruitSet"	2013	30132168	25237516	83.7560576457691	3253413	29842	1.16321715	0.910289585464757	0.924950335744937	-47.1404606803554	23.7921220662988
"GSM2627862"	"SRR5560666"	"Pinot noir"	"Veraison"	2013	27006397	22800684	84.426974838591	3253280	28351	0.92302741	0.899722517396934	0.931788794413135	-10.0653863460867	25.5314560112418
"GSM2627863"	"SRR5560667"	"Pinot noir"	"Veraison"	2013	19514717	16575639	84.939171805566	2258658	26433	0.62191875	0.896202548891115	0.930293615151165	-6.94287062688896	25.6748696288613
"GSM2627864"	"SRR5560668"	"Pinot noir"	"Veraison"	2013	19650690	16553291	84.237708701323	2281065	26852	0.66023324	0.89571517391219	0.932367254777773	-10.1798928867726	26.6843776857133
"GSM2627883"	"SRR5560687"	"Pinot noir"	"Harvest"	2013	22951888	19121175	83.3098131186419	2823879	29303	0.7512633	0.897302177714501	0.937042792825237	67.7812944034295	26.7027038581884
"GSM2627884"	"SRR5560688"	"Pinot noir"	"Harvest"	2013	22767696	18963342	83.290562207085	2771493	28688	0.74165693	0.895832746280511	0.942978908277875	66.3714344292899	29.0099490531291
"GSM2627885"	"SRR5560689"	"Pinot noir"	"Harvest"	2013	23477703	19569585	83.3539166927872	2794931	29185	0.7637398	0.897218601257383	0.94504642409298	71.3285734758814	29.1185269472068
"GSM2627886"	"SRR5560690"	"Pinot noir"	"FruitSet"	2014	31419382	26342140	83.8404141749192	3526355	30259	1.1510521	0.904875500452989	0.927916750334351	-51.4545178471351	24.442848138738
"GSM2627887"	"SRR5560691"	"Pinot noir"	"FruitSet"	2014	36124049	31586794	87.4397939167893	3391969	27927	1.34756925	0.8967164762648	0.921039916104264	-54.3111461277645	22.4135828840384
"GSM2627888"	"SRR5560692"	"Pinot noir"	"FruitSet"	2014	37739945	31556723	83.6162400342661	4378033	31785	1.45261424	0.904255611323818	0.923776777174738	-50.2969988793455	19.1398254455438
"GSM2627895"	"SRR5560699"	"Pinot noir"	"Veraison"	2014	17465571	14875885	85.1726233284901	1833441	27339	0.66254006	0.894404373635593	0.917321925374651	-25.4291851850887	24.8771024458463
"GSM2627896"	"SRR5560700"	"Pinot noir"	"Veraison"	2014	32041632	26991878	84.2400224807525	3634602	29767	1.17685137	0.889150017538529	0.911547679437031	-19.2330761775578	23.7160214716115
"GSM2627897"	"SRR5560701"	"Pinot noir"	"Veraison"	2014	20912136	17633444	84.3215824533658	2360437	28119	0.76996332	0.896387152244316	0.917385279206542	-20.1577872146856	24.616219515273
"GSM2627919"	"SRR5560723"	"Pinot noir"	"Harvest"	2014	31839271	26536089	83.34389628456	3924414	30042	1.02665026	0.889538452011541	0.932476368972932	57.1952353974714	31.3267984534965
"GSM2627920"	"SRR5560724"	"Pinot noir"	"Harvest"	2014	32382087	27014015	83.4227114515504	3962798	30211	1.0430654	0.892013471665028	0.935150662587966	60.6072310580388	31.3552548498201
"GSM2627921"	"SRR5560725"	"Pinot noir"	"Harvest"	2014	31301070	26039372	83.190037912442	3931623	30159	1.01617125	0.892096063987684	0.933085688596684	58.4829049009718	32.3414438181279
