Gene	Module	Rank_kWithin	Top_decile_kWithin	V5_gene	Family_conflict	Mapped_for_T008	Pearson_54	Spearman_54
"VIT_03s0038g00220"	"M2"	63	FALSE	"Vitvi05_01chr03g00190"	FALSE	TRUE	0.967677364969444	0.997636744806556
"VIT_03s0038g01770"	"M2"	60	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0038g01930"	"M2"	154	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0038g03400"	"M5"	46	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0038g03860"	"M5"	80	FALSE	"Vitvi05_01chr03g04320"	FALSE	TRUE	0.989257565898093	0.937183152277492
"VIT_03s0038g04330"	"M2"	206	FALSE	"Vitvi05_01chr03g04830"	FALSE	TRUE	0.982721578378999	0.994816085382123
"VIT_03s0038g04680"	"M2"	83	FALSE	"Vitvi05_01chr03g05200"	FALSE	TRUE	0.988701113396978	0.984905660377358
"VIT_03s0038g04700"	"M2"	103	FALSE	"Vitvi05_01chr03g05230"	FALSE	TRUE	0.998865468914952	0.994892319420621
"VIT_03s0063g00810"	"M2"	109	FALSE	"Vitvi05_01chr03g07740"	FALSE	TRUE	0.985200907720828	0.957842576710501
"VIT_03s0063g01960"	"M2"	200	FALSE	"Vitvi05_01chr03g06270"	FALSE	TRUE	0.994521060118823	0.990928149418715
"VIT_03s0088g00060"	"M2"	157	FALSE	"Vitvi05_01chr03g10790"	FALSE	TRUE	0.987781503699369	0.970287217390198
"VIT_03s0088g00140"	"M2"	124	FALSE	"Vitvi05_01chr03g10920"	FALSE	TRUE	0.964659660596067	0.91248068077066
"VIT_03s0088g00210"	"M2"	41	FALSE	"Vitvi05_01chr03g11000"	FALSE	TRUE	0.897285186516394	0.882616402226283
"VIT_03s0088g00690"	"M5"	12	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0088g00700"	"M5"	16	FALSE	"Vitvi05_01chr03g11570"	FALSE	TRUE	0.97453946186556	0.915935985614109
"VIT_03s0088g00710"	"M5"	37	FALSE	"Vitvi05_01chr03g11580"	FALSE	TRUE	0.971215106451206	0.980315250427855
"VIT_03s0091g00160"	"M5"	96	FALSE	"Vitvi05_01chr03g09150"	FALSE	TRUE	0.966871240013477	0.997407943889609
"VIT_03s0091g00260"	"M10"	10	FALSE	"Vitvi05_01chr03g09350"	FALSE	TRUE	0.997159513588676	0.989860872879741
"VIT_03s0097g00160"	"M2"	207	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0097g00240"	"M2"	48	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0167g00010"	"M2"	204	FALSE	"Vitvi05_01chr03g13770"	FALSE	TRUE	0.598658536125781	0.467531972830977
"VIT_04s0008g00460"	"M2"	40	FALSE	"Vitvi05_01chr04g00490"	FALSE	TRUE	0.989136580727036	0.981445184894812
"VIT_04s0008g01580"	"M2"	174	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_04s0023g02280"	"M10"	29	FALSE	"Vitvi05_01chr04g18750"	FALSE	TRUE	0.82604650026595	0.861091087507574
"VIT_04s0023g02810"	"M2"	152	FALSE	"Vitvi05_01chr04g19480"	FALSE	TRUE	0.993718389256954	0.992376596150181
"VIT_04s0023g03540"	"M10"	17	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_04s0023g03550"	"M10"	11	FALSE	"Vitvi05_01chr04g20470"	FALSE	TRUE	0.995538444448409	0.995273489613112
"VIT_04s0044g00040"	"M5"	87	FALSE	"Vitvi05_01chr04g22300"	FALSE	TRUE	0.994230168013517	0.983533447684391
"VIT_04s0044g01810"	"M2"	196	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_04s0044g01830"	"M2"	213	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_04s0069g01150"	"M2"	42	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0020g00080"	"M2"	61	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0020g00840"	"M10"	24	FALSE	"Vitvi05_01chr05g04000"	FALSE	TRUE	0.984650383646406	0.987268915570802
"VIT_05s0020g03140"	"M5"	58	FALSE	"Vitvi05_01chr05g07090"	FALSE	TRUE	0.983603281708995	0.991538021726701
"VIT_05s0020g03280"	"M5"	5	TRUE	"Vitvi05_01chr05g07310"	FALSE	TRUE	0.943900971300273	0.98999197830322
"VIT_05s0020g05000"	"M5"	52	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0029g01000"	"M2"	160	FALSE	"Vitvi05_01chr05g17800"	FALSE	TRUE	0.933193260250425	0.980019137025079
"VIT_05s0049g00770"	"M10"	19	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0049g00800"	"M10"	35	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0049g00840"	"M10"	28	FALSE	"Vitvi05_01chr05g10840"	FALSE	TRUE	0.935255193861646	0.924680769963789
"VIT_05s0049g01550"	"M5"	95	FALSE	"Vitvi05_01chr05g11840"	FALSE	TRUE	0.992217381940888	0.995578425767105
"VIT_05s0051g00120"	"M2"	22	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_05s0051g00180"	"M2"	51	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0062g00610"	"M5"	107	FALSE	"Vitvi05_01chr05g19710"	FALSE	TRUE	0.992371337299601	0.996950638460072
"VIT_05s0077g00530"	"M2"	148	FALSE	"Vitvi05_01chr05g13120"	FALSE	TRUE	0.97288240821917	0.983227235732135
"VIT_05s0077g01530"	"M5"	14	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0077g01540"	"M5"	41	FALSE	"Vitvi05_01chr05g01030"	FALSE	TRUE	0.972733004693662	0.953280903387632
"VIT_05s0077g01550"	"M5"	74	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0077g01560"	"M5"	71	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0077g01570"	"M5"	63	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0077g01580"	"M5"	86	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0094g01120"	"M2"	85	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_05s0094g01250"	"M2"	100	FALSE	"Vitvi05_01chr05g26200"	FALSE	TRUE	0.970606643500149	0.937183152277492
"VIT_05s0094g01260"	"M2"	87	FALSE	"Vitvi05_01chr05g26210"	FALSE	TRUE	0.982349002644636	0.993062702496665
"VIT_05s0102g00710"	"M10"	6	FALSE	"Vitvi05_01chr05g23320"	FALSE	TRUE	0.99430959565294	0.992529064227177
"VIT_05s0165g00230"	"M2"	20	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_06s0004g01010"	"M5"	57	FALSE	"Vitvi05_01chr06g01530"	FALSE	TRUE	0.977018600156635	0.985896702877835
"VIT_06s0004g01020"	"M5"	26	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_06s0004g01030"	"M5"	20	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_06s0004g01990"	"M5"	15	FALSE	"Vitvi05_01chr06g03110"	FALSE	TRUE	0.966498944431691	0.895378906565018
"VIT_06s0004g02010"	"M5"	9	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_06s0004g04010"	"M2"	210	FALSE	"Vitvi05_01chr06g06030"	FALSE	TRUE	0.963856995189337	0.99283400038117
"VIT_06s0004g05070"	"M2"	175	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_06s0004g06490"	"M2"	14	TRUE	NA	FALSE	FALSE	NA	NA
