"Module"	"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Fraction_kWithin_from_negative_correlations"	"Top_decile_kWithin"	"Beta7_module"	"In_best_matching_beta7_module"	"V3_gene"	"V5_gene"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_TF_label"	"V5_TF_label"	"V3_leaf_terms"	"V5_leaf_terms"	"Veraison_CS_exact_zero_fraction"	"Veraison_PN_exact_zero_fraction"	"Veraison_CS_minus_PN_2012"	"Veraison_CS_minus_PN_2013"	"Veraison_CS_minus_PN_2014"	"Veraison_same_direction_all_years"	"Harvest_CS_exact_zero_fraction"	"Harvest_PN_exact_zero_fraction"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"
"M2"	"VIT_18s0117g00140"	8	58.2747934520256	0.273590579586975	0.987291910316664	0.987291910316664	10	0.371490380604624	TRUE	"M2"	TRUE	"Vitvi18g03049"	"Vitvi05_01chr18g28120"	TRUE	TRUE	TRUE	TRUE	"RNA biosynthesis.transcriptional regulation.transcription factor (FAR1)"	"mapman:RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure.FRS/FRF transcription factor"	0	0	-3.65020810181566	-3.38936277491589	-3.16643226365684	TRUE	0.111111111111111	0	-2.88246271008276	-2.71609050170697	-2.701105129244	TRUE
"M2"	"VIT_19s0085g00660"	9	58.1383079019615	0.272949802356627	0.988344530633671	0.988344530633671	8	0.422746680901566	TRUE	"M2"	TRUE	"Vitvi19g02349"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0.888888888888889	0	-6.89301725686172	-6.50649070759274	-6.73178770044655	TRUE	0.777777777777778	0	-6.20096840637217	-6.81792023455903	-6.05591804142932	TRUE
"M2"	"VIT_19s0085g00460"	10	57.3949675849795	0.269459941713519	-0.98841440125963	0.98841440125963	7	0.598433751221981	TRUE	"M2"	TRUE	"Vitvi19g01699"	"Vitvi05_01chr19g22100"	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	0.333333333333333	2.53633559035681	2.25254111620254	2.56617088116966	TRUE	0	0.333333333333333	2.41764979957523	2.45037865788614	2.43932434790611	TRUE
"M2"	"VIT_09s0054g00030"	11	57.1467566100507	0.268294631972069	-0.983767090354272	0.983767090354272	11	0.599449525133823	TRUE	"M2"	TRUE	"Vitvi09g01930"	NA	TRUE	FALSE	FALSE	FALSE	"Protein biosynthesis.ribosome biogenesis.large ribosomal subunit (LSU).LSU proteome.component RPL7"	NA	0	0.666666666666667	4.25061240365426	3.99093990189006	3.89352063566503	TRUE	0	0.666666666666667	4.43704672675141	5.07479060008974	4.78310379324399	TRUE
"M2"	"VIT_07s0005g00540"	12	56.5401247420229	0.265446595032971	-0.983152899548507	0.983152899548507	13	0.573675735132959	TRUE	"M2"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0.555555555555556	5.20926649971272	5.31511173252863	5.11723416705723	TRUE	0	0.888888888888889	5.44215786276478	4.98140708696731	4.831378418588	TRUE
"M2"	"VIT_07s0005g06200"	13	56.4346811023574	0.264951554471162	-0.983378510709269	0.983378510709269	12	0.582427873012495	TRUE	"M2"	TRUE	"Vitvi07g00890"	"Vitvi05_01chr07g13000"	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0	0.111111111111111	2.78301032039112	2.26786855245654	2.62564940402289	TRUE	0	0.222222222222222	2.67333183811271	2.75366937413168	2.70469881398582	TRUE
"M2"	"VIT_06s0004g06490"	14	56.0520031474858	0.263154944354394	0.982454096550825	0.982454096550825	16	0.417488133289162	TRUE	"M2"	TRUE	"Vitvi06g00630"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0.222222222222222	0	-2.76347046066794	-2.82741312977431	-2.75968269349436	TRUE	0.555555555555556	0	-2.86754270084327	-2.99802660566079	-2.80221833041361	TRUE
"M2"	"VIT_00s0160g00160"	15	54.7007764357812	0.256811156975498	0.982881453850345	0.982881453850345	14	0.383982847397581	TRUE	"M2"	TRUE	"Vitvi07g02828"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	0	-3.05955736645669	-3.03042998736611	-3.03694028756581	TRUE	0.444444444444444	0	-3.32426994075818	-3.0186738277469	-3.1132592704781	TRUE
"M2"	"VIT_17s0000g00060"	16	54.3339203728883	0.255088828041729	-0.982834949930785	0.982834949930785	15	0.574078250130155	TRUE	"M2"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	1	4.2102562318912	4.19761931273583	3.43708439467777	TRUE	0	1	3.62709032298377	3.26214415703997	3.40218794827373	TRUE
"M2"	"VIT_19s0014g05330"	17	53.4127170691866	0.250763929902284	0.981663186856598	0.981663186856598	17	0.371265187066085	TRUE	"M2"	TRUE	"Vitvi19g00423"	"Vitvi05_01chr19g07240"	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0.555555555555556	0	-3.34386155925214	-3.09920878585211	-3.15370719438637	TRUE	1	0	-2.60238555786697	-2.43872423056547	-2.64675658429728	TRUE
"M2"	"VIT_00s0160g00280"	18	53.1794472433261	0.249668766400592	0.979808752362389	0.979808752362389	18	0.3810766084659	TRUE	"M2"	TRUE	"Vitvi07g02817"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	1	0	-6.77296408789999	-6.75349862331931	-7.28993521419069	TRUE	1	0	-5.31445607144796	-5.91225384644314	-6.42489783038902	TRUE
"M2"	"VIT_07s0005g00530"	19	52.8753499388857	0.248241079525285	-0.975129244899771	0.975129244899771	21	0.575956102120591	TRUE	"M2"	TRUE	"Vitvi07g02204"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0	0.888888888888889	4.07655451109315	3.36751180037337	3.52181948307819	TRUE	0	0.888888888888889	3.31796518656899	3.49032143085328	3.27955457459958	TRUE
"M2"	"VIT_05s0165g00230"	20	52.4077150184048	0.246045610415046	-0.976844332000174	0.976844332000174	20	0.580965470067059	TRUE	"M2"	TRUE	"Vitvi05g01454"	NA	TRUE	FALSE	FALSE	FALSE	"Vesicle trafficking.Coat protein II (COPII) coatomer machinery.coat protein recruiting.GTPase (Sar1)"	NA	0	1	3.59631541089362	3.08182273382465	2.79380240282583	TRUE	0	1	2.76713982032051	2.53021137377219	3.05327483529104	TRUE
"M2"	"VIT_14s0066g00170"	21	52.3738983053406	0.245886846503947	0.970770009793647	0.970770009793647	26	0.43323482827515	TRUE	"M2"	TRUE	"Vitvi14g01657"	"Vitvi05_01chr14g25240"	TRUE	TRUE	FALSE	FALSE	"Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen"	"mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen"	0.888888888888889	0	-3.65011089589538	-3.3498386096836	-3.18780769725538	TRUE	1	0	-3.90020027921571	-4.24747201274822	-3.65081375974182	TRUE
"M2"	"VIT_05s0051g00120"	22	51.8052604938634	0.243217185417199	-0.972092694029955	0.972092694029955	24	0.571075096585082	TRUE	"M2"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0.777777777777778	2.25764423294722	2.5666093008631	2.6955261507007	TRUE	0	0.888888888888889	2.24264770171082	2.31751333062159	2.62999449651356	TRUE
"M2"	"VIT_04s0069g01150"	42	42.6825530771426	0.200387573132125	-0.955508218678727	0.955508218678727	38	0.561397529378054	FALSE	"M2"	TRUE	"Vitvi04g01992"	NA	TRUE	FALSE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.bZIP  transcription factor superfamily.transcription factor (bZIP)"	NA	0	0	2.54039771581911	2.92342407059834	2.53884979000422	TRUE	0	0	2.0216634777349	1.56457050037875	2.1419018352758	TRUE
"M2"	"VIT_00s1203g00010"	86	27.1111569780225	0.127282427126866	0.85429000245863	0.85429000245863	103	0.153818818948932	FALSE	"M2"	TRUE	"Vitvi15g01767"	"Vitvi05_01chr15g03800"	TRUE	TRUE	TRUE	TRUE	"RNA biosynthesis.transcriptional regulation.B3  transcription factor superfamily.transcription factor (ARF)"	"mapman:RNA biosynthesis.DNA-binding transcriptional regulation.beta-barrel DNA-binding domain.ARF transcription factor"	0.111111111111111	0	-3.93008031740347	-3.90496629128786	-4.03499497076543	TRUE	0.666666666666667	0	-1.24375588659851	-0.993510181042454	-1.14105032810919	TRUE
"M2"	"VIT_03s0167g00010"	204	0.477943387266383	0.00224386566791729	0.532861965316246	0.532861965316246	204	0.0972981530472625	FALSE	"M2"	TRUE	"Vitvi03g00907"	"Vitvi05_01chr03g13770"	TRUE	TRUE	TRUE	TRUE	"RNA biosynthesis.transcriptional regulation.B3  transcription factor superfamily.transcription factor (ARF)"	"mapman:RNA biosynthesis.DNA-binding transcriptional regulation.beta-barrel DNA-binding domain.ARF transcription factor"	0.777777777777778	0.222222222222222	-2.72351146924658	-2.82317406391296	-0.0864155295309051	TRUE	1	0.333333333333333	-0.554386572809507	-0.661788079214023	0	FALSE
