"Gene1"	"Gene2"	"Pearson_r"	"Beta10_unsigned_adjacency"	"Pair_group"
"VIT_02s0012g01660"	"VIT_04s0044g00040"	-0.674117259815652	0.0193800310153251	"other_other"
"VIT_05s0062g00610"	"VIT_04s0044g00040"	-0.444912425673296	0.000303910251879447	"other_other"
"VIT_05s0077g01580"	"VIT_08s0040g01710"	0.598893863543957	0.00593606478206039	"other_other"
"VIT_03s0038g03860"	"VIT_08s0040g01710"	-0.777002456278448	0.080209150560038	"other_other"
"VIT_09s0002g01000"	"VIT_08s0040g01710"	-0.791919137521599	0.097008185766819	"other_other"
"VIT_00s1206g00010"	"VIT_08s0040g01710"	-0.741340121407761	0.0501389284588407	"other_other"
"VIT_14s0030g00340"	"VIT_08s0040g01710"	-0.868880716169431	0.245245804513041	"other_other"
"VIT_02s0025g03260"	"VIT_08s0040g01710"	-0.75647631545149	0.0613696084316815	"other_other"
"VIT_10s0116g00530"	"VIT_08s0040g01710"	-0.900690886915901	0.35136434279028	"other_other"
"VIT_08s0007g01560"	"VIT_08s0040g01710"	0.825669399921632	0.147252235036303	"other_other"
"VIT_02s0012g01660"	"VIT_08s0040g01710"	-0.622374611426027	0.0087200441011236	"other_other"
"VIT_05s0062g00610"	"VIT_08s0040g01710"	-0.803915806385549	0.112747177167113	"other_other"
"VIT_04s0044g00040"	"VIT_08s0040g01710"	0.698883162847844	0.0278000628579901	"other_other"
"VIT_05s0077g01580"	"VIT_18s0001g08760"	0.71291815211067	0.033915383115363	"other_other"
"VIT_03s0038g03860"	"VIT_18s0001g08760"	-0.774726217422512	0.0778901483965851	"other_other"
"VIT_09s0002g01000"	"VIT_18s0001g08760"	-0.765560626620556	0.0691505903963713	"other_other"
"VIT_00s1206g00010"	"VIT_18s0001g08760"	-0.761572945142342	0.0656319145886004	"other_other"
"VIT_14s0030g00340"	"VIT_18s0001g08760"	-0.838856395451989	0.17253459925404	"other_other"
"VIT_02s0025g03260"	"VIT_18s0001g08760"	-0.784428785105977	0.0882135337733815	"other_other"
"VIT_10s0116g00530"	"VIT_18s0001g08760"	-0.856980231536976	0.213652529604129	"other_other"
"VIT_08s0007g01560"	"VIT_18s0001g08760"	0.870985711974325	0.251252451041237	"other_other"
"VIT_02s0012g01660"	"VIT_18s0001g08760"	-0.712360461645575	0.0336510071479788	"other_other"
"VIT_05s0062g00610"	"VIT_18s0001g08760"	-0.690416929682176	0.0246101534438839	"other_other"
"VIT_04s0044g00040"	"VIT_18s0001g08760"	0.789007104125222	0.0934994671010197	"other_other"
"VIT_08s0040g01710"	"VIT_18s0001g08760"	0.877655241508252	0.271168668451843	"other_other"
"VIT_05s0077g01580"	"VIT_05s0049g01550"	0.66258452728303	0.0163084580155997	"other_other"
"VIT_03s0038g03860"	"VIT_05s0049g01550"	-0.675415477400333	0.0197565034365747	"other_other"
"VIT_09s0002g01000"	"VIT_05s0049g01550"	-0.683139384809482	0.0221356991156638	"other_other"
"VIT_00s1206g00010"	"VIT_05s0049g01550"	-0.603418874419086	0.00640013159984526	"other_other"
"VIT_14s0030g00340"	"VIT_05s0049g01550"	-0.753376345875485	0.058900611452028	"other_other"
"VIT_02s0025g03260"	"VIT_05s0049g01550"	-0.75986928802539	0.0641784047592594	"other_other"
"VIT_10s0116g00530"	"VIT_05s0049g01550"	-0.774587413085752	0.0777507084551789	"other_other"
"VIT_08s0007g01560"	"VIT_05s0049g01550"	0.675627627208146	0.0198186469291395	"other_other"
"VIT_02s0012g01660"	"VIT_05s0049g01550"	-0.64816422453908	0.013087315267402	"other_other"
"VIT_05s0062g00610"	"VIT_05s0049g01550"	-0.699970122622761	0.0282354706160407	"other_other"
"VIT_04s0044g00040"	"VIT_05s0049g01550"	0.686786023902236	0.0233461078168018	"other_other"
"VIT_08s0040g01710"	"VIT_05s0049g01550"	0.83623899120402	0.167226128257366	"other_other"
"VIT_18s0001g08760"	"VIT_05s0049g01550"	0.863271712526154	0.229866192851576	"other_other"
"VIT_05s0077g01580"	"VIT_18s0166g00060"	0.59311409125263	0.00538743969163956	"other_other"
"VIT_03s0038g03860"	"VIT_18s0166g00060"	-0.621669060153282	0.00862169261380571	"other_other"
"VIT_09s0002g01000"	"VIT_18s0166g00060"	-0.640733032260396	0.011661949091865	"other_other"
"VIT_00s1206g00010"	"VIT_18s0166g00060"	-0.585702490586049	0.00475084331964407	"other_other"
"VIT_14s0030g00340"	"VIT_18s0166g00060"	-0.638321347656323	0.0112303602971833	"other_other"
"VIT_02s0025g03260"	"VIT_18s0166g00060"	-0.686390276728243	0.0232119286814608	"other_other"
"VIT_10s0116g00530"	"VIT_18s0166g00060"	-0.688207977319623	0.023834004890042	"other_other"
"VIT_08s0007g01560"	"VIT_18s0166g00060"	0.582814651101718	0.00452172980474935	"other_other"
"VIT_02s0012g01660"	"VIT_18s0166g00060"	-0.5756638232826	0.00399658797532324	"other_other"
"VIT_05s0062g00610"	"VIT_18s0166g00060"	-0.639202763794088	0.0113864001268923	"other_other"
"VIT_04s0044g00040"	"VIT_18s0166g00060"	0.571637399723643	0.00372568686151945	"other_other"
"VIT_08s0040g01710"	"VIT_18s0166g00060"	0.696001716020612	0.0266749186615221	"other_other"
"VIT_18s0001g08760"	"VIT_18s0166g00060"	0.767257160135157	0.0706983861412195	"other_other"
"VIT_05s0049g01550"	"VIT_18s0166g00060"	0.730060558104643	0.0430119231258957	"other_other"
"VIT_05s0077g01580"	"VIT_18s0001g15130"	0.785468841340946	0.0893901400040654	"other_other"
"VIT_03s0038g03860"	"VIT_18s0001g15130"	-0.740930260785914	0.0498624167601853	"other_other"
"VIT_09s0002g01000"	"VIT_18s0001g15130"	-0.671787525323131	0.0187205821604621	"other_other"
"VIT_00s1206g00010"	"VIT_18s0001g15130"	-0.689283201864552	0.0242090053692545	"other_other"
"VIT_14s0030g00340"	"VIT_18s0001g15130"	-0.672022039079328	0.0187860364435996	"other_other"
"VIT_02s0025g03260"	"VIT_18s0001g15130"	-0.840468892739785	0.175879993362219	"other_other"
"VIT_10s0116g00530"	"VIT_18s0001g15130"	-0.754348683147807	0.0596652363576873	"other_other"
"VIT_08s0007g01560"	"VIT_18s0001g15130"	0.771712065230517	0.0749122604987899	"other_other"
"VIT_02s0012g01660"	"VIT_18s0001g15130"	-0.675236439407869	0.01970419565718	"other_other"
"VIT_05s0062g00610"	"VIT_18s0001g15130"	-0.59059874185523	0.0051632740258299	"other_other"
"VIT_04s0044g00040"	"VIT_18s0001g15130"	0.787079365209145	0.0912399979507601	"other_other"
"VIT_08s0040g01710"	"VIT_18s0001g15130"	0.796475935144545	0.102736930229669	"other_other"
"VIT_18s0001g08760"	"VIT_18s0001g15130"	0.856031086559102	0.211297988454541	"other_other"
"VIT_05s0049g01550"	"VIT_18s0001g15130"	0.838142212448904	0.171071294400079	"other_other"
"VIT_18s0166g00060"	"VIT_18s0001g15130"	0.712378167800277	0.0336593722470915	"other_other"
"VIT_05s0077g01580"	"VIT_05s0077g01560"	0.829660222417878	0.154526399626268	"other_other"
"VIT_03s0038g03860"	"VIT_05s0077g01560"	-0.702736622719053	0.0293714827471969	"other_other"
"VIT_09s0002g01000"	"VIT_05s0077g01560"	-0.823214630759465	0.142932438860119	"other_other"
"VIT_00s1206g00010"	"VIT_05s0077g01560"	-0.756725591463817	0.0615721352725103	"other_other"
"VIT_14s0030g00340"	"VIT_05s0077g01560"	-0.674897634424604	0.0196055513022046	"other_other"
"VIT_02s0025g03260"	"VIT_05s0077g01560"	-0.797770178794436	0.104418627502609	"other_other"
"VIT_10s0116g00530"	"VIT_05s0077g01560"	-0.817223273299514	0.132863981275103	"other_other"
"VIT_08s0007g01560"	"VIT_05s0077g01560"	0.632949613266357	0.0103202778172623	"other_other"
"VIT_02s0012g01660"	"VIT_05s0077g01560"	-0.719311351536776	0.0370825114991347	"other_other"
"VIT_05s0062g00610"	"VIT_05s0077g01560"	-0.529670431104937	0.00173803008953755	"other_other"
"VIT_04s0044g00040"	"VIT_05s0077g01560"	0.711236665424921	0.0331238928702858	"other_other"
"VIT_08s0040g01710"	"VIT_05s0077g01560"	0.78061525376051	0.0840176121596265	"other_other"
"VIT_18s0001g08760"	"VIT_05s0077g01560"	0.789002959734757	0.0934945560027705	"other_other"
"VIT_05s0049g01550"	"VIT_05s0077g01560"	0.729971509193576	0.0429594882527321	"other_other"
"VIT_18s0166g00060"	"VIT_05s0077g01560"	0.662533183244213	0.0162958249078255	"other_other"
"VIT_18s0001g15130"	"VIT_05s0077g01560"	0.76764250671305	0.0710542646814643	"other_other"
"VIT_05s0077g01580"	"VIT_07s0005g03340"	0.696984832409202	0.0270541112797614	"other_other"
"VIT_03s0038g03860"	"VIT_07s0005g03340"	-0.723620860298711	0.0393650475736807	"other_other"
"VIT_09s0002g01000"	"VIT_07s0005g03340"	-0.719066643861143	0.0369565508017747	"other_other"
"VIT_00s1206g00010"	"VIT_07s0005g03340"	-0.668960709343323	0.0179475886508615	"other_other"
"VIT_14s0030g00340"	"VIT_07s0005g03340"	-0.74475662453042	0.0524981197368168	"other_other"
"VIT_02s0025g03260"	"VIT_07s0005g03340"	-0.805622423309381	0.115163659446002	"other_other"
"VIT_10s0116g00530"	"VIT_07s0005g03340"	-0.80797360700318	0.118569160475971	"other_other"
"VIT_08s0007g01560"	"VIT_07s0005g03340"	0.842151262119704	0.179432471260513	"other_other"
"VIT_02s0012g01660"	"VIT_07s0005g03340"	-0.694087033153942	0.025950116412367	"other_other"
"VIT_05s0062g00610"	"VIT_07s0005g03340"	-0.587074519642841	0.00486331403993744	"other_other"
"VIT_04s0044g00040"	"VIT_07s0005g03340"	0.771307579933723	0.0745205400575823	"other_other"
"VIT_08s0040g01710"	"VIT_07s0005g03340"	0.840548820521978	0.176047325138324	"other_other"
"VIT_18s0001g08760"	"VIT_07s0005g03340"	0.850709794418586	0.198524600006894	"other_other"
"VIT_05s0049g01550"	"VIT_07s0005g03340"	0.780077421922951	0.0834405352527993	"other_other"
"VIT_18s0166g00060"	"VIT_07s0005g03340"	0.685364304612794	0.0228672961377661	"other_other"
"VIT_18s0001g15130"	"VIT_07s0005g03340"	0.87381612132033	0.259537746166516	"other_other"
"VIT_05s0077g01560"	"VIT_07s0005g03340"	0.724884635062889	0.0400579706255134	"other_other"
"VIT_05s0077g01580"	"VIT_06s0004g07550"	0.843037328240321	0.181329326557274	"other_other"
"VIT_03s0038g03860"	"VIT_06s0004g07550"	-0.824905968940251	0.145896361532645	"other_other"
"VIT_09s0002g01000"	"VIT_06s0004g07550"	-0.748796411887257	0.0554163026712238	"other_other"
"VIT_00s1206g00010"	"VIT_06s0004g07550"	-0.844656917731427	0.184843180583681	"other_other"
"VIT_14s0030g00340"	"VIT_06s0004g07550"	-0.545269027003768	0.002323316040938	"other_other"
"VIT_02s0025g03260"	"VIT_06s0004g07550"	-0.898234257160811	0.341897671564582	"other_other"
"VIT_10s0116g00530"	"VIT_06s0004g07550"	-0.782140962369862	0.0856742505403514	"other_other"
"VIT_08s0007g01560"	"VIT_06s0004g07550"	0.60712876731756	0.00680468637352338	"other_other"
"VIT_02s0012g01660"	"VIT_06s0004g07550"	-0.787949024104481	0.092253153312627	"other_other"
"VIT_05s0062g00610"	"VIT_06s0004g07550"	-0.498234861172021	0.000942629692336261	"other_other"
"VIT_04s0044g00040"	"VIT_06s0004g07550"	0.776444801312732	0.0796353448058805	"other_other"
"VIT_08s0040g01710"	"VIT_06s0004g07550"	0.656154662161882	0.0147932020695462	"other_other"
"VIT_18s0001g08760"	"VIT_06s0004g07550"	0.714602783274653	0.0347253821523015	"other_other"
"VIT_05s0049g01550"	"VIT_06s0004g07550"	0.617673563200238	0.00808332679078736	"other_other"
"VIT_18s0166g00060"	"VIT_06s0004g07550"	0.578663803522927	0.00420981656829908	"other_other"
"VIT_18s0001g15130"	"VIT_06s0004g07550"	0.825300034316811	0.146594822400027	"other_other"
"VIT_05s0077g01560"	"VIT_06s0004g07550"	0.704833164116142	0.0302596085117607	"other_other"
"VIT_07s0005g03340"	"VIT_06s0004g07550"	0.726969734293021	0.0412252505579559	"other_other"
"VIT_05s0077g01580"	"VIT_18s0001g15220"	0.803895694736778	0.112718974258871	"other_other"
"VIT_03s0038g03860"	"VIT_18s0001g15220"	-0.804092919192711	0.112995819847066	"other_other"
"VIT_09s0002g01000"	"VIT_18s0001g15220"	-0.76822906591079	0.0715990642658762	"other_other"
"VIT_00s1206g00010"	"VIT_18s0001g15220"	-0.723092108052561	0.0390783497930886	"other_other"
"VIT_14s0030g00340"	"VIT_18s0001g15220"	-0.659787388985207	0.0156329199089489	"other_other"
"VIT_02s0025g03260"	"VIT_18s0001g15220"	-0.873307420408212	0.258030772933768	"other_other"
"VIT_10s0116g00530"	"VIT_18s0001g15220"	-0.85153749810593	0.200464637083648	"other_other"
"VIT_08s0007g01560"	"VIT_18s0001g15220"	0.683883350884139	0.0223779505476874	"other_other"
"VIT_02s0012g01660"	"VIT_18s0001g15220"	-0.759846448734162	0.0641591173494485	"other_other"
"VIT_05s0062g00610"	"VIT_18s0001g15220"	-0.642431671244947	0.0119748320450351	"other_other"
"VIT_04s0044g00040"	"VIT_18s0001g15220"	0.779414817023913	0.0827344866754328	"other_other"
"VIT_08s0040g01710"	"VIT_18s0001g15220"	0.812263454925055	0.125017019411715	"other_other"
"VIT_18s0001g08760"	"VIT_18s0001g15220"	0.825603453555252	0.147134666668274	"other_other"
"VIT_05s0049g01550"	"VIT_18s0001g15220"	0.834827000461197	0.164423870907244	"other_other"
"VIT_18s0166g00060"	"VIT_18s0001g15220"	0.689524023695239	0.0242937199190624	"other_other"
"VIT_18s0001g15130"	"VIT_18s0001g15220"	0.778593512241953	0.0818667982287708	"other_other"
"VIT_05s0077g01560"	"VIT_18s0001g15220"	0.79612337269202	0.102283066939853	"other_other"
"VIT_07s0005g03340"	"VIT_18s0001g15220"	0.81026879949953	0.121980711242175	"other_other"
"VIT_06s0004g07550"	"VIT_18s0001g15220"	0.726342642079726	0.0408710141743466	"other_other"
"VIT_05s0077g01580"	"VIT_00s0270g00120"	0.767371719711257	0.0708040172327464	"other_other"
"VIT_03s0038g03860"	"VIT_00s0270g00120"	-0.837518905230069	0.169803325364919	"other_other"
"VIT_09s0002g01000"	"VIT_00s0270g00120"	-0.942503856318588	0.553135278476435	"other_other"
"VIT_00s1206g00010"	"VIT_00s0270g00120"	-0.921416438135738	0.441122853709935	"other_other"
"VIT_14s0030g00340"	"VIT_00s0270g00120"	-0.722016815365213	0.0385010985699919	"other_other"
"VIT_02s0025g03260"	"VIT_00s0270g00120"	-0.899917273246477	0.348358072244264	"other_other"
"VIT_10s0116g00530"	"VIT_00s0270g00120"	-0.918218706422396	0.426050777218904	"other_other"
"VIT_08s0007g01560"	"VIT_00s0270g00120"	0.616700071399132	0.00795682830969244	"other_other"
"VIT_02s0012g01660"	"VIT_00s0270g00120"	-0.855741843338224	0.210585121039021	"other_other"
"VIT_05s0062g00610"	"VIT_00s0270g00120"	-0.55037107356286	0.00255009289658716	"other_other"
"VIT_04s0044g00040"	"VIT_00s0270g00120"	0.790660858807673	0.0954777988963338	"other_other"
"VIT_08s0040g01710"	"VIT_00s0270g00120"	0.807981878837992	0.118581299853876	"other_other"
"VIT_18s0001g08760"	"VIT_00s0270g00120"	0.769408673681234	0.0727060881690905	"other_other"
"VIT_05s0049g01550"	"VIT_00s0270g00120"	0.668793110983123	0.0179026742423195	"other_other"
"VIT_18s0166g00060"	"VIT_00s0270g00120"	0.625168003129821	0.00911942428442597	"other_other"
"VIT_18s0001g15130"	"VIT_00s0270g00120"	0.682573953032639	0.0219531637156995	"other_other"
"VIT_05s0077g01560"	"VIT_00s0270g00120"	0.849954252953762	0.196768472087501	"other_other"
"VIT_07s0005g03340"	"VIT_00s0270g00120"	0.742205610345555	0.0507273679073658	"other_other"
"VIT_06s0004g07550"	"VIT_00s0270g00120"	0.785183853770666	0.0890663394377072	"other_other"
"VIT_18s0001g15220"	"VIT_00s0270g00120"	0.844225675560261	0.183901623317756	"other_other"
"VIT_05s0077g01580"	"VIT_14s0030g01890"	0.888274152185068	0.305823073020504	"other_other"
"VIT_03s0038g03860"	"VIT_14s0030g01890"	-0.868619142838043	0.244508500457237	"other_other"
"VIT_09s0002g01000"	"VIT_14s0030g01890"	-0.848409188060568	0.193220691357239	"other_other"
"VIT_00s1206g00010"	"VIT_14s0030g01890"	-0.906473085444764	0.374583926409282	"other_other"
"VIT_14s0030g00340"	"VIT_14s0030g01890"	-0.595062062139761	0.00556701804931826	"other_other"
"VIT_02s0025g03260"	"VIT_14s0030g01890"	-0.927558462561438	0.471425337357333	"other_other"
"VIT_10s0116g00530"	"VIT_14s0030g01890"	-0.87926656333843	0.276188493819054	"other_other"
"VIT_08s0007g01560"	"VIT_14s0030g01890"	0.593375654952823	0.00541124554032581	"other_other"
"VIT_02s0012g01660"	"VIT_14s0030g01890"	-0.867465080260922	0.241279271681531	"other_other"
"VIT_05s0062g00610"	"VIT_14s0030g01890"	-0.482847435246807	0.000688809754883221	"other_other"
"VIT_04s0044g00040"	"VIT_14s0030g01890"	0.877190062055645	0.269734829189954	"other_other"
"VIT_08s0040g01710"	"VIT_14s0030g01890"	0.699391501278575	0.0280029320357077	"other_other"
"VIT_18s0001g08760"	"VIT_14s0030g01890"	0.775192891078291	0.07836061098103	"other_other"
"VIT_05s0049g01550"	"VIT_14s0030g01890"	0.680156609287261	0.0211879639754769	"other_other"
"VIT_18s0166g00060"	"VIT_14s0030g01890"	0.643520639701526	0.0121793694988837	"other_other"
"VIT_18s0001g15130"	"VIT_14s0030g01890"	0.752021123740733	0.0578496049947168	"other_other"
"VIT_05s0077g01560"	"VIT_14s0030g01890"	0.774901492328115	0.0780665474337694	"other_other"
"VIT_07s0005g03340"	"VIT_14s0030g01890"	0.74003898637178	0.0492658518165896	"other_other"
"VIT_06s0004g07550"	"VIT_14s0030g01890"	0.899845858518727	0.34808172445708	"other_other"
"VIT_18s0001g15220"	"VIT_14s0030g01890"	0.848436101188695	0.193281993328926	"other_other"
"VIT_00s0270g00120"	"VIT_14s0030g01890"	0.906694587209849	0.375500250309092	"other_other"
"VIT_05s0077g01580"	"VIT_05s0077g01570"	0.851419661909123	0.200187405767315	"other_other"
"VIT_03s0038g03860"	"VIT_05s0077g01570"	-0.733840742013157	0.0452916556051559	"other_other"
"VIT_09s0002g01000"	"VIT_05s0077g01570"	-0.827525461661096	0.150596074716848	"other_other"
"VIT_00s1206g00010"	"VIT_05s0077g01570"	-0.779073894691193	0.082373310837789	"other_other"
"VIT_14s0030g00340"	"VIT_05s0077g01570"	-0.66406596136655	0.0166767799321252	"other_other"
"VIT_02s0025g03260"	"VIT_05s0077g01570"	-0.826112259089896	0.148043951742566	"other_other"
"VIT_10s0116g00530"	"VIT_05s0077g01570"	-0.822160895913156	0.141113371344306	"other_other"
"VIT_08s0007g01560"	"VIT_05s0077g01570"	0.641701961550867	0.0118395083572722	"other_other"
"VIT_02s0012g01660"	"VIT_05s0077g01570"	-0.74590808698713	0.0533154595719856	"other_other"
"VIT_05s0062g00610"	"VIT_05s0077g01570"	-0.532841407663045	0.00184492905112324	"other_other"
"VIT_04s0044g00040"	"VIT_05s0077g01570"	0.733540549799158	0.0451067217252889	"other_other"
"VIT_08s0040g01710"	"VIT_05s0077g01570"	0.782559405735761	0.0861337105963616	"other_other"
"VIT_18s0001g08760"	"VIT_05s0077g01570"	0.798076446912188	0.104820189279629	"other_other"
"VIT_05s0049g01550"	"VIT_05s0077g01570"	0.742682026237599	0.0510539250120443	"other_other"
"VIT_18s0166g00060"	"VIT_05s0077g01570"	0.677393930469121	0.020342906825804	"other_other"
"VIT_18s0001g15130"	"VIT_05s0077g01570"	0.794349960833839	0.10002735491815	"other_other"
"VIT_05s0077g01560"	"VIT_05s0077g01570"	0.992836023144546	0.930626174417425	"other_other"
"VIT_07s0005g03340"	"VIT_05s0077g01570"	0.736903156063145	0.0472176279185726	"other_other"
"VIT_06s0004g07550"	"VIT_05s0077g01570"	0.738167865076191	0.0480342871266129	"other_other"
"VIT_18s0001g15220"	"VIT_05s0077g01570"	0.806744935837903	0.116778388802691	"other_other"
"VIT_00s0270g00120"	"VIT_05s0077g01570"	0.856489375065939	0.212431931655863	"other_other"
"VIT_14s0030g01890"	"VIT_05s0077g01570"	0.79757408246674	0.104162244453394	"other_other"
"VIT_05s0077g01580"	"VIT_06s0004g02010"	0.856165042723049	0.211628871391154	"other_other"
"VIT_03s0038g03860"	"VIT_06s0004g02010"	-0.86260436918795	0.228095404574565	"other_other"
"VIT_09s0002g01000"	"VIT_06s0004g02010"	-0.895584793848784	0.331945748575337	"other_other"
"VIT_00s1206g00010"	"VIT_06s0004g02010"	-0.902496606551094	0.358472443371669	"other_other"
"VIT_14s0030g00340"	"VIT_06s0004g02010"	-0.712967259809027	0.0339387521760875	"other_other"
"VIT_02s0025g03260"	"VIT_06s0004g02010"	-0.958524448767953	0.654684332257816	"other_other"
"VIT_10s0116g00530"	"VIT_06s0004g02010"	-0.894503877596771	0.327961055425405	"other_other"
"VIT_08s0007g01560"	"VIT_06s0004g02010"	0.658802555502085	0.0154011358374247	"other_other"
"VIT_02s0012g01660"	"VIT_06s0004g02010"	-0.880766433796145	0.280936101953575	"other_other"
"VIT_05s0062g00610"	"VIT_06s0004g02010"	-0.566515425160161	0.00340500217690766	"other_other"
"VIT_04s0044g00040"	"VIT_06s0004g02010"	0.827729071798055	0.150967022336035	"other_other"
