"Year"	"Original_CS_minus_PN_SD"	"Without_family_CS_minus_PN_SD"
2012	-2.68362533751579	-2.65009459661654
2013	-2.24338639598948	-2.25635666596407
2014	-2.23936956782674	-2.31458554167953
