"Module"	"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Fraction_kWithin_from_negative_correlations"	"Top_decile_kWithin"	"Beta7_module"	"In_best_matching_beta7_module"	"V3_gene"	"V5_gene"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_TF_label"	"V5_TF_label"	"V3_leaf_terms"	"V5_leaf_terms"	"Veraison_CS_exact_zero_fraction"	"Veraison_PN_exact_zero_fraction"	"Veraison_CS_minus_PN_2012"	"Veraison_CS_minus_PN_2013"	"Veraison_CS_minus_PN_2014"	"Veraison_same_direction_all_years"	"Harvest_CS_exact_zero_fraction"	"Harvest_PN_exact_zero_fraction"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"
"M2"	"VIT_04s0023g02810"	152	7.51593471327792	0.0352860784660935	-0.77709611469509	0.77709611469509	137	0.522764592416053	FALSE	"M2"	TRUE	"Vitvi04g01402"	"Vitvi05_01chr04g19480"	TRUE	TRUE	FALSE	FALSE	"Enzyme classification.EC_1 oxidoreductases.EC_1.2 oxidoreductase acting on aldehyde or oxo group of donor"	"mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-2 oxidoreductase acting on aldehyde or oxo group of donor"	0	0	0.748010099508623	1.43950623597437	0.821585833561776	TRUE	0	0	3.2726496128844	2.63976552063966	3.68038630691306	TRUE
"M2"	"VIT_02s0025g04890"	153	7.39483874870482	0.0347175528108208	-0.763457924645239	0.763457924645239	144	0.469419959511274	FALSE	"M2"	TRUE	"Vitvi02g01416"	NA	TRUE	FALSE	FALSE	FALSE	"Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen"	NA	0	0	2.7065026682972	2.81331106584843	2.87098062854768	TRUE	0	0	2.05475722356625	2.83405759792774	2.42603031214235	TRUE
"M2"	"VIT_03s0038g01930"	154	7.29936557731182	0.0342693219592104	-0.790209146524076	0.790209146524076	131	0.61747313565763	FALSE	"M2"	TRUE	"Vitvi03g00104"	NA	TRUE	FALSE	FALSE	FALSE	"Protein modification.protein folding.protein folding catalyst (Cyclophilin)"	NA	0	0	1.75767091251743	2.20782555824706	1.87611640994709	TRUE	0	0	2.19005740834705	1.06006852891348	1.59622277259748	TRUE
"M2"	"VIT_00s0187g00080"	155	6.98825916020354	0.0328087284516598	-0.600425972639755	0.600425972639755	192	0.0980580721797957	FALSE	"M2"	TRUE	"Vitvi10g01679"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	1	2.86301862921831	3.06726927562839	4.2943686164256	TRUE	0	0.888888888888889	0.0798403837315533	0.122860426825778	0.0753182177093929	TRUE
"M2"	"VIT_15s0046g01610"	156	6.87286198259301	0.0322669576647559	-0.721251871342956	0.721251871342956	158	0.475182209025857	FALSE	"M1"	FALSE	"Vitvi15g01044"	"Vitvi05_01chr15g18300"	TRUE	TRUE	FALSE	FALSE	"not assigned.annotated"	"mapman:External stimuli response.pathogen.defense mechanisms.defense enzyme activities.chitinase activities.acidic chitinase *(CHIA)"	0	0.111111111111111	0.883587184676211	3.01429865422011	1.84028158496021	TRUE	0	0	2.48036211569868	1.88137389329234	2.62793929599736	TRUE
"M2"	"VIT_03s0088g00060"	157	6.72920643420615	0.0315925184704514	-0.744284396049638	0.744284396049638	151	0.46151994804602	FALSE	"M2"	TRUE	"Vitvi03g00700"	"Vitvi05_01chr03g10790"	TRUE	TRUE	FALSE	FALSE	"Enzyme classification.EC_1 oxidoreductases.EC_1.3 oxidoreductase acting on CH-CH group of donor"	"mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-3 oxidoreductase acting on CH-CH group of donor"	0	0.222222222222222	5.12533110339031	5.29929851041348	1.57858829283757	TRUE	0	0	4.22721997467222	4.6590898795367	4.61025643542259	TRUE
"M2"	"VIT_18s0001g06940"	158	6.66675156285636	0.0312993031120017	-0.58608299010545	0.58608299010545	193	0.0921214627932135	FALSE	"M1"	FALSE	"Vitvi18g02593"	NA	TRUE	FALSE	FALSE	FALSE	"Solute transport.carrier-mediated transport.DMT superfamily.organic cation transporter (PUP)"	NA	0	0	4.48446218616205	4.60262486641082	4.83848633156746	TRUE	0	0.333333333333333	0.248693821743279	0.517009682745377	0.528982855388366	TRUE
"M2"	"VIT_14s0006g02550"	159	6.43686385330104	0.0302200180906152	-0.523512792795191	0.523512792795191	207	0.0684273372477808	FALSE	"M2"	TRUE	"Vitvi14g01128"	"Vitvi05_01chr14g16910"	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	0.111111111111111	3.62791812165293	3.74464561482236	4.35723218032651	TRUE	0.555555555555556	0.888888888888889	0.0650398403595359	-0.0231919838449539	0.247550810301028	FALSE
"M2"	"VIT_05s0029g01000"	160	6.35600409576197	0.0298403948157839	-0.611447902024197	0.611447902024197	188	0.19785935555528	FALSE	"M1"	FALSE	"Vitvi05g02074"	"Vitvi05_01chr05g17800"	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0	0	2.82812127746541	2.61747559023624	3.20646385241984	TRUE	0	0.555555555555556	1.24126762968598	1.14164345277989	0.834266251414492	TRUE
"M2"	"VIT_01s0146g00090"	161	6.35127129761149	0.0298181751061572	0.738238403961979	0.738238403961979	152	0.180043931257317	FALSE	"M2"	TRUE	"Vitvi01g01703"	"Vitvi05_01chr01g23570"	TRUE	TRUE	FALSE	FALSE	"Lipid metabolism.lipid bodies-associated activities.steroleosin dehydrogenase (HSD/SLO)"	"mapman:Lipid metabolism.cytoplasmic lipid droplet-associated activities.STEROLEOSIN-type dehydrogenase *(SLO/HSD); mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-1 oxidoreductase acting on CH-OH group of donor"	0.222222222222222	0	-3.5490072037138	-3.66787721265438	-3.45117425822431	TRUE	0.888888888888889	0	-0.647887633881472	-0.442923578738519	-0.634557643715369	TRUE
