Source	Module	TermID	TermName	Background_N	Module_n	Term_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_within_module	FDR_global_module_terms
v5_mapman	M1	1	mapman:Photosynthesis	1305	1028	84	80	66.1701149425287	1.20900500277932	TRUE		1.5348075665095e-05	VIT_00s0125g00280;VIT_00s0204g00170;VIT_01s0010g01170;VIT_01s0010g03620;VIT_01s0011g02740;VIT_01s0011g05290;VIT_01s0137g00210;VIT_02s0012g00980;VIT_02s0012g01120;VIT_02s0025g01470;VIT_02s0025g04710;VIT_02s0025g04730;VIT_02s0109g00080;VIT_03s0038g00670;VIT_03s0038g02510;VIT_03s0063g02020;VIT_03s0180g00110;VIT_04s0008g01730;VIT_04s0008g05340;VIT_04s0023g00410;VIT_04s0023g03010;VIT_04s0023g03510;VIT_04s0044g01310;VIT_04s0044g01410;VIT_05s0020g03490;VIT_05s0020g04110;VIT_05s0049g00950;VIT_05s0049g01760;VIT_06s0004g05180;VIT_06s0080g00920;VIT_07s0005g02220;VIT_07s0005g04400;VIT_07s0005g04920;VIT_08s0007g00780;VIT_08s0007g00840;VIT_08s0007g01570;VIT_08s0007g02190;VIT_08s0007g04800;VIT_08s0007g07480;VIT_09s0002g04320;VIT_09s0002g04360;VIT_10s0003g02890;VIT_10s0003g02900;VIT_10s0003g04350;VIT_10s0116g01540;VIT_11s0016g00730;VIT_11s0016g01400;VIT_11s0016g05270;VIT_11s0016g05570;VIT_12s0028g00320;VIT_12s0028g01080;VIT_12s0028g02180;VIT_12s0035g00270;VIT_12s0055g01110;VIT_12s0057g00630;VIT_13s0019g00260;VIT_13s0019g02050;VIT_13s0019g03350;VIT_14s0068g00680;VIT_14s0128g00050;VIT_15s0024g00040;VIT_15s0048g00370;VIT_16s0022g00630;VIT_17s0000g03690;VIT_17s0000g05250;VIT_17s0000g05650;VIT_17s0000g06350;VIT_18s0001g00760;VIT_18s0001g02740;VIT_18s0001g06720;VIT_18s0001g11370;VIT_18s0001g11710;VIT_18s0001g14450;VIT_18s0001g15310;VIT_18s0089g01170;VIT_19s0014g00160;VIT_19s0014g03660;VIT_19s0014g03850;VIT_19s0014g05080;VIT_19s0093g00510	0.00372508512564604	0.00182715186489226
v5_mapman	M1	1.1	mapman:Photosynthesis.photophosphorylation	1305	1028	60	58	47.264367816092	1.22714007782101	TRUE		6.73557394317271e-05	VIT_00s0125g00280;VIT_00s0204g00170;VIT_01s0010g01170;VIT_01s0010g03620;VIT_01s0011g05290;VIT_01s0137g00210;VIT_02s0012g00980;VIT_02s0025g01470;VIT_02s0025g04710;VIT_03s0063g02020;VIT_03s0180g00110;VIT_04s0008g01730;VIT_04s0023g00410;VIT_04s0023g03510;VIT_04s0044g01310;VIT_04s0044g01410;VIT_05s0020g03490;VIT_05s0020g04110;VIT_05s0049g01760;VIT_06s0080g00920;VIT_07s0005g02220;VIT_07s0005g04400;VIT_07s0005g04920;VIT_08s0007g00780;VIT_08s0007g02190;VIT_08s0007g07480;VIT_09s0002g04320;VIT_09s0002g04360;VIT_10s0003g02890;VIT_10s0003g02900;VIT_10s0003g04350;VIT_11s0016g00730;VIT_11s0016g01400;VIT_11s0016g05570;VIT_12s0028g00320;VIT_12s0028g01080;VIT_12s0035g00270;VIT_12s0055g01110;VIT_12s0057g00630;VIT_13s0019g00260;VIT_14s0128g00050;VIT_15s0024g00040;VIT_16s0022g00630;VIT_17s0000g05250;VIT_17s0000g05650;VIT_17s0000g06350;VIT_18s0001g00760;VIT_18s0001g02740;VIT_18s0001g06720;VIT_18s0001g11370;VIT_18s0001g11710;VIT_18s0001g14450;VIT_18s0001g15310;VIT_18s0089g01170;VIT_19s0014g00160;VIT_19s0014g03660;VIT_19s0014g03850;VIT_19s0014g05080	0.00372508512564604	0.00647651340689684
v5_mapman	M1	1.1.1	mapman:Photosynthesis.photophosphorylation.photosystem II	1305	1028	31	30	24.4199233716475	1.22850508346931	TRUE		0.00534407028843373	VIT_00s0204g00170;VIT_01s0137g00210;VIT_03s0180g00110;VIT_04s0008g01730;VIT_05s0020g04110;VIT_07s0005g02220;VIT_07s0005g04400;VIT_08s0007g00780;VIT_08s0007g02190;VIT_09s0002g04360;VIT_10s0003g02890;VIT_10s0003g02900;VIT_11s0016g01400;VIT_11s0016g05570;VIT_12s0028g00320;VIT_12s0028g01080;VIT_12s0055g01110;VIT_12s0057g00630;VIT_13s0019g00260;VIT_14s0128g00050;VIT_16s0022g00630;VIT_17s0000g05250;VIT_17s0000g05650;VIT_18s0001g02740;VIT_18s0001g06720;VIT_18s0001g11710;VIT_18s0001g15310;VIT_18s0089g01170;VIT_19s0014g00160;VIT_19s0014g03660	0.190859653158348	0.31070176095545
v5_mapman	M1	1.1.1.1	mapman:Photosynthesis.photophosphorylation.photosystem II.LHC-II complex	1305	1028	10	10	7.87739463601533	1.26945525291829	TRUE		0.0911524603378352	VIT_07s0005g02220;VIT_08s0007g02190;VIT_10s0003g02890;VIT_10s0003g02900;VIT_12s0028g00320;VIT_12s0055g01110;VIT_12s0057g00630;VIT_18s0089g01170;VIT_19s0014g00160;VIT_19s0014g03660	0.902236524139759	1
v5_mapman	M1	1.1.1.1.1	mapman:Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb1/2/3)	1305	1028	7	7	5.51417624521073	1.26945525291829	TRUE		0.187407931679818	VIT_07s0005g02220;VIT_10s0003g02890;VIT_10s0003g02900;VIT_12s0028g00320;VIT_12s0057g00630;VIT_19s0014g00160;VIT_19s0014g03660	0.902236524139759	1
v5_mapman	M1	1.1.1.1.2	mapman:Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb4)	1305	1028	1	1	0.787739463601533	1.26945525291829	FALSE	term_background_size_outside_5_to_500	NA	VIT_08s0007g02190	NA	NA
v5_mapman	M1	1.1.1.1.3	mapman:Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb5)	1305	1028	1	1	0.787739463601533	1.26945525291829	FALSE	term_background_size_outside_5_to_500	NA	VIT_18s0089g01170	NA	NA
v5_mapman	M1	1.1.1.1.4	mapman:Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb6)	1305	1028	1	1	0.787739463601533	1.26945525291829	FALSE	term_background_size_outside_5_to_500	NA	VIT_12s0055g01110	NA	NA
v5_mapman	M1	1.1.1.2	mapman:Photosynthesis.photophosphorylation.photosystem II.PS-II complex	1305	1028	5	5	3.93869731800766	1.26945525291829	TRUE		0.30270105980043	VIT_01s0137g00210;VIT_04s0008g01730;VIT_11s0016g01400;VIT_12s0028g01080;VIT_18s0001g11710	0.902236524139759	1
v5_mapman	M1	1.1.1.2.12	mapman:Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component *(PsbX)	1305	1028	2	2	1.57547892720307	1.26945525291829	FALSE	term_background_size_outside_5_to_500	NA	VIT_04s0008g01730;VIT_11s0016g01400	NA	NA
