Source	Theme	Module	Matched_MapMan_terms	Background_N	Module_n	Theme_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_global_themes	Coverage_warning
v5_mapman	cuticle_cutin_wax	M1	15	1305	1028	10	9	7.87739463601533	1.14250972762646	TRUE		0.338936871658545	VIT_02s0025g03320;VIT_07s0031g01680;VIT_07s0031g02630;VIT_08s0007g02000;VIT_09s0018g01340;VIT_15s0046g00490;VIT_15s0046g00660;VIT_15s0046g00710;VIT_16s0050g00830	1	TRUE
v5_mapman	cuticle_cutin_wax	M2	15	1305	40	10	0	0.306513409961686	0	TRUE		1		1	TRUE
v5_mapman	cuticle_cutin_wax	M3	15	1305	19	10	0	0.145593869731801	0	TRUE		1		1	TRUE
v5_mapman	cuticle_cutin_wax	M4	15	1305	63	10	1	0.482758620689655	2.07142857142857	TRUE		0.391378339218132	VIT_15s0046g00480	1	FALSE
v5_mapman	cuticle_cutin_wax	M5	15	1305	55	10	0	0.421455938697318	0	TRUE		1		1	FALSE
v5_mapman	cuticle_cutin_wax	M6	15	1305	32	10	0	0.245210727969349	0	TRUE		1		1	TRUE
v5_mapman	cuticle_cutin_wax	M7	15	1305	24	10	0	0.183908045977011	0	TRUE		1		1	TRUE
v5_mapman	cuticle_cutin_wax	M8	15	1305	11	10	0	0.0842911877394636	0	TRUE		1		1	TRUE
v5_mapman	cuticle_cutin_wax	M9	15	1305	23	10	0	0.176245210727969	0	TRUE		1		1	FALSE
v5_mapman	cuticle_cutin_wax	M10	15	1305	10	10	0	0.0766283524904215	0	TRUE		1		1	TRUE
v5_mapman	epidermis	M1	0	1305	1028	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	TRUE
v5_mapman	epidermis	M2	0	1305	40	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	TRUE
v5_mapman	epidermis	M3	0	1305	19	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	TRUE
v5_mapman	epidermis	M4	0	1305	63	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v5_mapman	epidermis	M5	0	1305	55	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v5_mapman	epidermis	M6	0	1305	32	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	TRUE
v5_mapman	epidermis	M7	0	1305	24	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	TRUE
v5_mapman	epidermis	M8	0	1305	11	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	TRUE
v5_mapman	epidermis	M9	0	1305	23	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v5_mapman	epidermis	M10	0	1305	10	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	TRUE
