	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	Not.Correlated
M1	2150	5	9	16	26	7	44	53	0	2	28
M2	5	0	203	8	0	0	3	0	0	0	5
M3	0	0	1	105	1	0	0	0	2	0	3
M4	0	0	1	0	1	101	0	0	0	0	3
M5	5	0	0	2	91	0	0	0	0	0	0
M6	4	0	0	0	0	0	19	1	46	0	1
M7	3	34	0	0	3	0	2	0	0	0	0
M8	0	0	0	0	0	0	0	0	0	40	0
Not.Correlated	0	0	0	0	0	0	0	0	0	0	17
