	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	Not.Correlated
M1	99.216	12.821	4.206	12.214	21.311	6.481	64.706	98.148	0	4.762	49.123
M2	0.231	0	94.86	6.107	0	0	4.412	0	0	0	8.772
M3	0	0	0.467	80.153	0.82	0	0	0	4.167	0	5.263
M4	0	0	0.467	0	0.82	93.519	0	0	0	0	5.263
M5	0.231	0	0	1.527	74.59	0	0	0	0	0	0
M6	0.185	0	0	0	0	0	27.941	1.852	95.833	0	1.754
M7	0.138	87.179	0	0	2.459	0	2.941	0	0	0	0
M8	0	0	0	0	0	0	0	0	0	95.238	0
Not.Correlated	0	0	0	0	0	0	0	0	0	0	29.825
