Module	N	Residual_df	R_squared	Adjusted_R_squared	Residual_SD	Max_abs_standardized_residual	N_abs_standardized_residual_over_3	Max_Cooks_D	Shapiro_p	Shapiro_FDR
M1	54	36	0.996265722246775	0.994502313307752	2.95108629409297	3.04957319776121	1	0.258330463569543	0.175128635097423	0.291881058495704
M2	54	36	0.998769152033742	0.998187918271898	0.513532384325764	3.16356211448875	1	0.27800347922857	0.0287142513923005	0.057428502784601
M3	54	36	0.998674446790237	0.998048491107849	0.413143556065619	2.83520713396473	0	0.223288874791236	0.767909001774855	0.853232224194283
M4	54	36	0.989845918244994	0.985050935194019	1.11236362112843	2.94054064146755	0	0.240188312892288	0.593538858848174	0.802285430477042
M5	54	36	0.974624973442186	0.962642322012108	1.80266210158747	3.7799061317496	2	0.396880287912172	3.14755339843889e-05	0.000157377669921944
M6	54	36	0.996552140146453	0.9949239841045	0.507332692248962	2.5278437706943	0	0.177499836917722	0.641828344381633	0.802285430477042
M7	54	36	0.922043155601428	0.885230201302102	2.18346770210347	2.93757858815319	0	0.239704665599336	0.00277931367456866	0.00694828418642164
M8	54	36	0.962064151776799	0.944150001226954	1.38213868261686	3.29782395820251	1	0.302101190535958	0.00147617967207256	0.00492059890690854
M9	54	36	0.536140597066823	0.317095879015045	4.51369870296772	3.60518166783797	3	0.361037079392083	5.97044829286333e-08	5.97044829286333e-07
M10	54	36	0.987244585484636	0.981221195296826	0.743264999973548	2.74761407458399	0	0.209705086190334	0.888982664773811	0.888982664773811
