Stage	Year	estimate_full	p.value_full	estimate_without_GSM2627837	p.value_without_GSM2627837	Removed_sample	Three_way_p_full	Three_way_p_without_sample
FruitSet	2012	-0.203117825883305	0.891009364631389	-0.203117825883306	0.861923872735485	GSM2627837	0.74336457162941	0.431623162878857
FruitSet	2013	1.88016798634225	0.209636978093612	1.88016798634225	0.113812067800164	GSM2627837	0.74336457162941	0.431623162878857
FruitSet	2014	0.0192636681222754	0.989629921095773	0.0192636681222749	0.986836568384631	GSM2627837	0.74336457162941	0.431623162878857
Harvest	2012	-25.0291600186621	8.71496427451425e-19	-25.0291600186621	8.19487922022512e-22	GSM2627837	0.74336457162941	0.431623162878857
Harvest	2013	-20.9232176727352	2.43696716808959e-16	-20.9232176727352	2.61720492134459e-19	GSM2627837	0.74336457162941	0.431623162878857
Harvest	2014	-20.8857542334662	2.57475731557315e-16	-20.8857542334662	2.77014521873411e-19	GSM2627837	0.74336457162941	0.431623162878857
Veraison	2012	-4.82770941418808	0.00230902568196476	-2.04594902864716	0.123441071980211	GSM2627837	0.74336457162941	0.431623162878857
Veraison	2013	-0.952070397119813	0.521835318521939	-0.952070397119817	0.417056601646062	GSM2627837	0.74336457162941	0.431623162878857
Veraison	2014	-1.59424796427643	0.285944998313841	-1.59424796427644	0.177806478414426	GSM2627837	0.74336457162941	0.431623162878857
