SampleName	Class	GSM	Cultivar	Year	Stage	TimePoint	Replicate	DayAfterVeraison	Evidence	GEO_URL	GEO_Description
GSM2627821	CS_Harvest	GSM2627821	Cabernet Sauvignon	2014	Harvest	12	2	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627821	CS14_A_2_12
GSM2627822	CS_Harvest	GSM2627822	Cabernet Sauvignon	2014	Harvest	12	3	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627822	CS14_A_3_12
GSM2627823	PN_FruitSet	GSM2627823	Pinot noir	2012	FruitSet	0	1	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627823	PN12_0_1_0
GSM2627824	PN_FruitSet	GSM2627824	Pinot noir	2012	FruitSet	0	2	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627824	PN12_0_2_0
GSM2627825	PN_FruitSet	GSM2627825	Pinot noir	2012	FruitSet	0	3	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627825	PN12_0_3_0
GSM2627835	PN_Veraison	GSM2627835	Pinot noir	2012	Veraison	4	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627835	PN12_A_1_4
GSM2627836	PN_Veraison	GSM2627836	Pinot noir	2012	Veraison	4	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627836	PN12_A_2_4
GSM2627837	PN_Veraison	GSM2627837	Pinot noir	2012	Veraison	4	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627837	PN12_A_3_4
GSM2627850	PN_Harvest	GSM2627850	Pinot noir	2012	Harvest	9	1	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627850	PN12_A_1_9
GSM2627851	PN_Harvest	GSM2627851	Pinot noir	2012	Harvest	9	2	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627851	PN12_A_2_9
GSM2627852	PN_Harvest	GSM2627852	Pinot noir	2012	Harvest	9	3	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627852	PN12_A_3_9
GSM2627853	PN_FruitSet	GSM2627853	Pinot noir	2013	FruitSet	0	1	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627853	PN13_0_1_0
GSM2627854	PN_FruitSet	GSM2627854	Pinot noir	2013	FruitSet	0	2	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627854	PN13_0_2_0
GSM2627855	PN_FruitSet	GSM2627855	Pinot noir	2013	FruitSet	0	3	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627855	PN13_0_3_0
GSM2627862	PN_Veraison	GSM2627862	Pinot noir	2013	Veraison	3	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627862	PN13_A_1_3
