Metric	Value
GSM	GSM2627824
SRA_Run	SRR5560628
Compressed_Bytes	2261588346
MD5	c66497514faf55180f5df4da2ab70e32
FASTQ_Records	25573908
Expected_ENA_Read_Count	25573908
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	96
Quality_probe_read_length_max	96
Quality_probe_read_length_mean	96.0000
Quality_probe_Q20_fraction	0.730811
Quality_probe_Q30_fraction	0.656344
Quality_probe_N_fraction	0.000103
GZIP_CRC	PASS
