Metric	Value
GSM	GSM2627713
SRA_Run	SRR5560520
Compressed_Bytes	2066464178
MD5	b2d5c47c1221754f1726b958a3cab98f
FASTQ_Records	23619255
Expected_ENA_Read_Count	23619255
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	96
Quality_probe_read_length_max	96
Quality_probe_read_length_mean	96.0000
Quality_probe_Q20_fraction	0.789430
Quality_probe_Q30_fraction	0.714006
Quality_probe_N_fraction	0.000201
GZIP_CRC	PASS
