Metric	Value
GSM	GSM2627693
SRA_Run	SRR5560508
FASTQ_MD5	0b715b39b2c655223372cecf9867bf40
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	752d9490d01d0d70de01eabd4036a33daf1da3d991c140af176477c852650bb9
Processed_fragments	32544679
Mapped_fragments	27787097
Percent_mapped	85.38138292898819
Decoy_fragments	3331489
Equivalence_classes	75285
Transcript_targets	56910
Nonzero_TPM_transcripts	35413
TPM_sum	999999.999916
Estimated_transcript_counts_sum	27787096.981
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
