Metric	Value
GSM	GSM2627921
SRA_Run	SRR5560725
FASTQ_MD5	c958b411782a0c0980cac075c591b30d
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	00288162ffd250264a209c5e0dc5ea1d7bf3d26d167720bb771c6241448a1d0f
Processed_fragments	31301070
Mapped_fragments	26039372
Percent_mapped	83.19003791244197
Decoy_fragments	3931623
Equivalence_classes	69776
Transcript_targets	56910
Nonzero_TPM_transcripts	33712
TPM_sum	1000000.000012
Estimated_transcript_counts_sum	26039372.049
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
