Metric	Value
GSM	GSM2627785
SRA_Run	SRR5560589
Compressed_Bytes	4569330997
MD5	521f3ccf8510a6e1ead7ae1a189227b6
FASTQ_Records	51596842
Expected_ENA_Read_Count	51596842
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.958417
Quality_probe_Q30_fraction	0.908586
Quality_probe_N_fraction	0.000189
GZIP_CRC	PASS
