Metric	Value
GSM	GSM2627755
SRA_Run	SRR5560559
Compressed_Bytes	2135569260
MD5	a60dab7b4a30cde815030872157e614e
FASTQ_Records	26456779
Expected_ENA_Read_Count	26456779
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.952807
Quality_probe_Q30_fraction	0.922558
Quality_probe_N_fraction	0.000408
GZIP_CRC	PASS
