Module	Legacy_Genes	Reciprocal_V5_Mapped	Mapped_Fraction
M1	2167	1483	0.6843562528841717
M10	39	21	0.5384615384615384
M2	214	81	0.37850467289719625
M3	131	35	0.26717557251908397
M4	122	89	0.7295081967213115
M5	108	76	0.7037037037037037
M6	68	48	0.7058823529411765
M7	54	39	0.7222222222222222
M8	48	17	0.3541666666666667
M9	42	33	0.7857142857142857
Not.Correlated	57	0	0.0
