Metric	Value
GSM	GSM2627823
SRA_Run	SRR5560627
Compressed_Bytes	2427569571
MD5	85e0ad83e9fd699c6666329fa0ffd1ae
FASTQ_Records	29088167
Expected_ENA_Read_Count	29088167
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	96
Quality_probe_read_length_max	96
Quality_probe_read_length_mean	96.0000
Quality_probe_Q20_fraction	0.946643
Quality_probe_Q30_fraction	0.898143
Quality_probe_N_fraction	0.000098
GZIP_CRC	PASS
