Metric	Value
GSM	GSM2627782
SRA_Run	SRR5560586
Compressed_Bytes	3647894481
MD5	2084cbe279239153636c2927b23ccd0e
FASTQ_Records	41605665
Expected_ENA_Read_Count	41605665
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.915178
Quality_probe_Q30_fraction	0.861464
Quality_probe_N_fraction	0.004143
GZIP_CRC	PASS
