Metric	Value
GSM	GSM2627691
SRA_Run	SRR5560506
Compressed_Bytes	1140195006
MD5	5d67cb3a0ac1d4ba6166e58dc0848143
FASTQ_Records	12724462
Expected_ENA_Read_Count	12724462
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	95
Quality_probe_read_length_max	95
Quality_probe_read_length_mean	95.0000
Quality_probe_Q20_fraction	0.953827
Quality_probe_Q30_fraction	0.884261
Quality_probe_N_fraction	0.000084
GZIP_CRC	PASS
