Metric	Value
GSM	GSM2627895
SRA_Run	SRR5560699
Compressed_Bytes	1660091866
MD5	58f449f2350af8d00eca3d466452a08c
FASTQ_Records	17465571
Expected_ENA_Read_Count	17465571
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.959542
Quality_probe_Q30_fraction	0.895876
Quality_probe_N_fraction	0.000096
GZIP_CRC	PASS
