Metric	Value
GSM	GSM2627883
SRA_Run	SRR5560687
Compressed_Bytes	1897353388
MD5	09614fd74daca1fedc8bb0f464d198d1
FASTQ_Records	22951888
Expected_ENA_Read_Count	22951888
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.983495
Quality_probe_Q30_fraction	0.952154
Quality_probe_N_fraction	0.000005
GZIP_CRC	PASS
