Metric	Value
GSM	GSM2627711
SRA_Run	SRR5560519
Compressed_Bytes	1841781494
MD5	eb389a04b1b1431bb9526ab08e8f4130
FASTQ_Records	21080333
Expected_ENA_Read_Count	21080333
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	96
Quality_probe_read_length_max	96
Quality_probe_read_length_mean	96.0000
Quality_probe_Q20_fraction	0.794203
Quality_probe_Q30_fraction	0.717899
Quality_probe_N_fraction	0.000284
GZIP_CRC	PASS
