Metric	Value
GSM	GSM2627711
SRA_Run	SRR5560519
FASTQ_MD5	eb389a04b1b1431bb9526ab08e8f4130
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	e9e0cc29de81631c17ac23230f824626853360aecf97c2f508a996a0d56ae6f1
Processed_fragments	21080333
Mapped_fragments	17263331
Percent_mapped	81.89306592073284
Decoy_fragments	1981446
Equivalence_classes	63270
Transcript_targets	56910
Nonzero_TPM_transcripts	31000
TPM_sum	1000000.000052
Estimated_transcript_counts_sum	17263331.019
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
