Metric	Value
GSM	GSM2627781
SRA_Run	SRR5560585
Compressed_Bytes	3850586648
MD5	4e3bd552d020a2fc9567371b112955f5
FASTQ_Records	43710305
Expected_ENA_Read_Count	43710305
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.906314
Quality_probe_Q30_fraction	0.848601
Quality_probe_N_fraction	0.004260
GZIP_CRC	PASS
