Metric	Value
GSM	GSM2627756
SRA_Run	SRR5560560
Compressed_Bytes	1870527741
MD5	3afa26780b3547f801519d987ed67116
FASTQ_Records	23181067
Expected_ENA_Read_Count	23181067
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.950264
Quality_probe_Q30_fraction	0.919044
Quality_probe_N_fraction	0.000472
GZIP_CRC	PASS
