Metric	Value
GSM	GSM2627888
SRA_Run	SRR5560692
Compressed_Bytes	3324075809
MD5	57f02e44a828f9eff3042a7d7e96af60
FASTQ_Records	37739945
Expected_ENA_Read_Count	37739945
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.961187
Quality_probe_Q30_fraction	0.914609
Quality_probe_N_fraction	0.000142
GZIP_CRC	PASS
