Metric	Value
GSM	GSM2627743
SRA_Run	SRR5560546
Compressed_Bytes	2193187104
MD5	3acf17deeb91f8188fb5c6a128402857
FASTQ_Records	26385793
Expected_ENA_Read_Count	26385793
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.947388
Quality_probe_Q30_fraction	0.910360
Quality_probe_N_fraction	0.000364
GZIP_CRC	PASS
