Metric	Value
GSM	GSM2627825
SRA_Run	SRR5560629
Compressed_Bytes	2477743414
MD5	09dd3fa239042d81c099a1f572714669
FASTQ_Records	29741944
Expected_ENA_Read_Count	29741944
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	96
Quality_probe_read_length_max	96
Quality_probe_read_length_mean	96.0000
Quality_probe_Q20_fraction	0.942321
Quality_probe_Q30_fraction	0.889961
Quality_probe_N_fraction	0.000095
GZIP_CRC	PASS
