Metric	Value
GSM	GSM2627793
SRA_Run	SRR5560597
FASTQ_MD5	437c6c967ed91a2ea0547d8be44ef611
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	391eb2912c7309fc1ceb425d3482f52a8a49401b3a2d6c2f59d74c9da37ecbab
Processed_fragments	32276350
Mapped_fragments	27804239
Percent_mapped	86.1443099978777
Decoy_fragments	3421245
Equivalence_classes	72417
Transcript_targets	56910
Nonzero_TPM_transcripts	33883
TPM_sum	999999.999967
Estimated_transcript_counts_sum	27804239.008
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
