Metric	Value
GSM	GSM2627709
SRA_Run	SRR5560518
Compressed_Bytes	2439835072
MD5	c541339edaa5af1e9b604c16e1ab89a1
FASTQ_Records	27928543
Expected_ENA_Read_Count	27928543
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	96
Quality_probe_read_length_max	96
Quality_probe_read_length_mean	96.0000
Quality_probe_Q20_fraction	0.792743
Quality_probe_Q30_fraction	0.717275
Quality_probe_N_fraction	0.000178
GZIP_CRC	PASS
