Metric	Value
GSM	GSM2627863
SRA_Run	SRR5560667
FASTQ_MD5	b2752702aafbd2fad3b3160d62551554
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	47f7a8b3a8c0d000894f41da4acc682f58fbc370cedc5c296b51f02e591606f3
Processed_fragments	19514717
Mapped_fragments	16575639
Percent_mapped	84.93917180556603
Decoy_fragments	2258658
Equivalence_classes	55149
Transcript_targets	56910
Nonzero_TPM_transcripts	29275
TPM_sum	999999.999969
Estimated_transcript_counts_sum	16575639.042
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
