Metric	Value
GSM	GSM2627786
SRA_Run	SRR5560590
Compressed_Bytes	4255543707
MD5	3c40a7fa9617a480b6c0ee696a04794a
FASTQ_Records	47487319
Expected_ENA_Read_Count	47487319
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	100
Quality_probe_read_length_max	100
Quality_probe_read_length_mean	100.0000
Quality_probe_Q20_fraction	0.963206
Quality_probe_Q30_fraction	0.909017
Quality_probe_N_fraction	0.000325
GZIP_CRC	PASS
