Metric	Value
GSM	GSM2627855
SRA_Run	SRR5560659
FASTQ_MD5	6342fd03f9f096592aa312af1ba22e3e
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	dfa1dec82e4aecd3154d20b8d8f9b9494658b3f6fc570bbbf48f94cd3f519929
Processed_fragments	30132168
Mapped_fragments	25237516
Percent_mapped	83.75605764576913
Decoy_fragments	3253413
Equivalence_classes	70418
Transcript_targets	56910
Nonzero_TPM_transcripts	33390
TPM_sum	999999.999884
Estimated_transcript_counts_sum	25237515.990
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
