Metric	Value
GSM	GSM2627793
SRA_Run	SRR5560597
Compressed_Bytes	2804794306
MD5	437c6c967ed91a2ea0547d8be44ef611
FASTQ_Records	32276350
Expected_ENA_Read_Count	32276350
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.971973
Quality_probe_Q30_fraction	0.931568
Quality_probe_N_fraction	0.000528
GZIP_CRC	PASS
