Metric	Value
GSM	GSM2627794
SRA_Run	SRR5560598
FASTQ_MD5	6505c73c046eee90fd0941ddfeebe1e3
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	3c2b3577c57395deab62383cbd31c9f8d5aba4ff1e85f618d033299fcf589dfe
Processed_fragments	34091860
Mapped_fragments	29161866
Percent_mapped	85.53908762971571
Decoy_fragments	3794677
Equivalence_classes	73805
Transcript_targets	56910
Nonzero_TPM_transcripts	34247
TPM_sum	999999.999997
Estimated_transcript_counts_sum	29161865.988
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
