Metric	Value
GSM	GSM2627795
SRA_Run	SRR5560599
Compressed_Bytes	3171417019
MD5	a96a3c4967dc24b1b72c7ea3c45cc1f5
FASTQ_Records	36601916
Expected_ENA_Read_Count	36601916
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.973741
Quality_probe_Q30_fraction	0.934258
Quality_probe_N_fraction	0.000556
GZIP_CRC	PASS
