Metric	Value
GSM	GSM2627756
SRA_Run	SRR5560560
FASTQ_MD5	3afa26780b3547f801519d987ed67116
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	95791cb1c0e9fcf5f13648d12f840310b40087ab437749652c01060db24061ba
Processed_fragments	23181067
Mapped_fragments	19268466
Percent_mapped	83.12156640589495
Decoy_fragments	2410203
Equivalence_classes	60596
Transcript_targets	56910
Nonzero_TPM_transcripts	30580
TPM_sum	1000000.000063
Estimated_transcript_counts_sum	19268466.000
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
