Metric	Value
GSM	GSM2627896
SRA_Run	SRR5560700
Compressed_Bytes	3041907691
MD5	b5c4e5b2fd4dd7557833a160efd84766
FASTQ_Records	32041632
Expected_ENA_Read_Count	32041632
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.962315
Quality_probe_Q30_fraction	0.901681
Quality_probe_N_fraction	0.000131
GZIP_CRC	PASS
