Metric	Value
GSM	GSM2627920
SRA_Run	SRR5560724
Compressed_Bytes	2891304956
MD5	dc7b1783f3ed4f93d8be86f8e3402a2a
FASTQ_Records	32382087
Expected_ENA_Read_Count	32382087
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	100
Quality_probe_read_length_max	100
Quality_probe_read_length_mean	100.0000
Quality_probe_Q20_fraction	0.963661
Quality_probe_Q30_fraction	0.909204
Quality_probe_N_fraction	0.000246
GZIP_CRC	PASS
