Metric	Value
GSM	GSM2627864
SRA_Run	SRR5560668
Compressed_Bytes	1667336320
MD5	f74a6f9556dd30ca51613f376792da3f
FASTQ_Records	19650690
Expected_ENA_Read_Count	19650690
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.981882
Quality_probe_Q30_fraction	0.946985
Quality_probe_N_fraction	0.000050
GZIP_CRC	PASS
