Metric	Value
GSM	GSM2627822
SRA_Run	SRR5560626
Compressed_Bytes	1871506391
MD5	bf47c45ed4f60c508a36dcc285a37abb
FASTQ_Records	21359051
Expected_ENA_Read_Count	21359051
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	100
Quality_probe_read_length_max	100
Quality_probe_read_length_mean	100.0000
Quality_probe_Q20_fraction	0.972394
Quality_probe_Q30_fraction	0.931795
Quality_probe_N_fraction	0.000139
GZIP_CRC	PASS
