Metric	Value
GSM	GSM2627825
SRA_Run	SRR5560629
FASTQ_MD5	09dd3fa239042d81c099a1f572714669
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	20c602dfbeb505f2af1cdf9c13dd61755c50612b444fbdd547c859e21e33ce4c
Processed_fragments	29741944
Mapped_fragments	25753392
Percent_mapped	86.58947108501044
Decoy_fragments	2401285
Equivalence_classes	66864
Transcript_targets	56910
Nonzero_TPM_transcripts	32942
TPM_sum	999999.999994
Estimated_transcript_counts_sum	25753392.024
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
