Metric	Value
GSM	GSM2627740
SRA_Run	SRR5560543
Compressed_Bytes	2341020612
MD5	845297ae9b77de2bab6d0f6afc7f969c
FASTQ_Records	29727462
Expected_ENA_Read_Count	29727462
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	95
Quality_probe_read_length_max	95
Quality_probe_read_length_mean	95.0000
Quality_probe_Q20_fraction	0.979726
Quality_probe_Q30_fraction	0.949316
Quality_probe_N_fraction	0.000147
GZIP_CRC	PASS
