Metric	Value
GSM	GSM2627822
SRA_Run	SRR5560626
FASTQ_MD5	bf47c45ed4f60c508a36dcc285a37abb
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	9c4a8274f5c8c61c360dd3a7d23dc01c92d6306c0a2918736028605eeb8e5801
Processed_fragments	21359051
Mapped_fragments	17609823
Percent_mapped	82.44665458217221
Decoy_fragments	2892801
Equivalence_classes	67828
Transcript_targets	56910
Nonzero_TPM_transcripts	32978
TPM_sum	1000000.000009
Estimated_transcript_counts_sum	17609822.992
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
