Metric	Value
GSM	GSM2627783
SRA_Run	SRR5560587
Compressed_Bytes	3680768920
MD5	696e7b1239de4304851f94e95c883dee
FASTQ_Records	41980889
Expected_ENA_Read_Count	41980889
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.907475
Quality_probe_Q30_fraction	0.853359
Quality_probe_N_fraction	0.003995
GZIP_CRC	PASS
