Metric	Value
GSM	GSM2627754
SRA_Run	SRR5560558
Compressed_Bytes	2330873078
MD5	9d08fe1e24aaeddd84c5b002e0e87a5f
FASTQ_Records	28784449
Expected_ENA_Read_Count	28784449
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.948043
Quality_probe_Q30_fraction	0.916894
Quality_probe_N_fraction	0.000530
GZIP_CRC	PASS
