Metric	Value
GSM	GSM2627741
SRA_Run	SRR5560544
Compressed_Bytes	2011469210
MD5	b95e81f7d683963418aafc7ca2b21336
FASTQ_Records	25298219
Expected_ENA_Read_Count	25298219
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	95
Quality_probe_read_length_max	95
Quality_probe_read_length_mean	95.0000
Quality_probe_Q20_fraction	0.979883
Quality_probe_Q30_fraction	0.951359
Quality_probe_N_fraction	0.000133
GZIP_CRC	PASS
