Metric	Value
GSM	GSM2627823
SRA_Run	SRR5560627
FASTQ_MD5	85e0ad83e9fd699c6666329fa0ffd1ae
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	233f8385e5b0388187efc17b1682c7e396c6bdab411f0bc0773bafbcc5019354
Processed_fragments	29088167
Mapped_fragments	25336285
Percent_mapped	87.1016898383456
Decoy_fragments	2249672
Equivalence_classes	65418
Transcript_targets	56910
Nonzero_TPM_transcripts	32461
TPM_sum	1000000.000022
Estimated_transcript_counts_sum	25336285.014
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
