Metric	Value
GSM	GSM2627794
SRA_Run	SRR5560598
Compressed_Bytes	3032506539
MD5	6505c73c046eee90fd0941ddfeebe1e3
FASTQ_Records	34091860
Expected_ENA_Read_Count	34091860
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	100
Quality_probe_read_length_max	100
Quality_probe_read_length_mean	100.0000
Quality_probe_Q20_fraction	0.974731
Quality_probe_Q30_fraction	0.931221
Quality_probe_N_fraction	0.000246
GZIP_CRC	PASS
