Metric	Value
GSM	GSM2627852
SRA_Run	SRR5560656
FASTQ_MD5	f977b387c47a2df4e277d2a3fe1a5563
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	f01204af8e2fb86fec3b6125f3dbce8e1c9e489e80491c559968e028bdabe994
Processed_fragments	40547271
Mapped_fragments	32775801
Percent_mapped	80.8335559747042
Decoy_fragments	3983836
Equivalence_classes	73987
Transcript_targets	56910
Nonzero_TPM_transcripts	33455
TPM_sum	999999.999978
Estimated_transcript_counts_sum	32775801.027
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
