Metric	Value
GSM	GSM2627783
SRA_Run	SRR5560587
FASTQ_MD5	696e7b1239de4304851f94e95c883dee
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	42bec8dde8d5fa8478580f07c09312a65c97b37563aaec06b8db3044f31a437c
Processed_fragments	41980889
Mapped_fragments	33324453
Percent_mapped	79.38005552955299
Decoy_fragments	4644563
Equivalence_classes	78506
Transcript_targets	56910
Nonzero_TPM_transcripts	35203
TPM_sum	999999.999938
Estimated_transcript_counts_sum	33324452.999
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
