Metric	Value
GSM	GSM2627821
SRA_Run	SRR5560625
FASTQ_MD5	90a852662cb6221d3883614772da1e4b
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	ea53fc28a47c74a2a3c284007b4520357fdb2e19912f7b5ac70e8da7f4758f99
Processed_fragments	34034563
Mapped_fragments	27932284
Percent_mapped	82.07034713505797
Decoy_fragments	4653974
Equivalence_classes	74895
Transcript_targets	56910
Nonzero_TPM_transcripts	34414
TPM_sum	1000000.000022
Estimated_transcript_counts_sum	27932284.009
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
