Metric	Value
GSM	GSM2627709
SRA_Run	SRR5560518
FASTQ_MD5	c541339edaa5af1e9b604c16e1ab89a1
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	748804417359081035aea76a612917bac441627b64f8a239741f8eaaee1f28f9
Processed_fragments	27928543
Mapped_fragments	22644033
Percent_mapped	81.07846155812712
Decoy_fragments	2790325
Equivalence_classes	67683
Transcript_targets	56910
Nonzero_TPM_transcripts	32091
TPM_sum	999999.999997
Estimated_transcript_counts_sum	22644033.009
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
