Metric	Value
GSM	GSM2627692
SRA_Run	SRR5560507
FASTQ_MD5	4d78e9f04f24ca197015029e1c073eee
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	3d65c032fa3373647dfe3ce733267c393e970b220aaeeee51287f56c4a6a1952
Processed_fragments	29764299
Mapped_fragments	26417655
Percent_mapped	88.75618068478616
Decoy_fragments	2244566
Equivalence_classes	69280
Transcript_targets	56910
Nonzero_TPM_transcripts	33326
TPM_sum	1000000.000011
Estimated_transcript_counts_sum	26417654.989
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
