Metric	Value
GSM	GSM2627864
SRA_Run	SRR5560668
FASTQ_MD5	f74a6f9556dd30ca51613f376792da3f
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	e19f582a1dfc8a786821bc0475fab8942adc9baba2f9203df11cee1c0ca1920d
Processed_fragments	19650690
Mapped_fragments	16553291
Percent_mapped	84.23770870132296
Decoy_fragments	2281065
Equivalence_classes	57725
Transcript_targets	56910
Nonzero_TPM_transcripts	29883
TPM_sum	999999.999977
Estimated_transcript_counts_sum	16553291.011
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
