Metric	Value
GSM	GSM2627919
SRA_Run	SRR5560723
Compressed_Bytes	2842411598
MD5	1aa1fd55922c515c58dd6c59bed67ae4
FASTQ_Records	31839271
Expected_ENA_Read_Count	31839271
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	100
Quality_probe_read_length_max	100
Quality_probe_read_length_mean	100.0000
Quality_probe_Q20_fraction	0.963520
Quality_probe_Q30_fraction	0.910269
Quality_probe_N_fraction	0.000214
GZIP_CRC	PASS
